season,week,home,road,line,actual,hscore,vscore,linesag,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linehow,linesagpred,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linefluker,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2025,2,Florida St.,Alabama,-14.0,14,31,17,-16.34,-20.54,-34.77,-13.45,-17.55,-16.38,-18.44,,-18.0,-16.38,-22.82,-11.96,-18.59,-14.87,-7,,-19.42,,-4.78,-19.16,,-19.1,-8.0,-20.2,-17.69,-13.36,-16.32,-13.5,-13.2,-17.14,-26.17,-12.5,-9.0,-20.2,-17.25,-17.83,-38.0,-20.6,,-17.9,,-17.4,-19.1,-14.5,,-41.1,-24.86,-12.95,,7.97,48,0.3980518662,0.1476606927
2025,2,Fresno St.,Georgia Southern,-1.5,28,42,14,-1.94,3.24,6.41,2.93,0.04,-2.13,5.54,,0.01,-1.86,4.76,-1.59,0.22,-0.86,3,,1.46,,-3.18,5.14,,-0.6,5.0,3.2,0.62,1.4,-1.84,-1.5,-2.4,0.2,1.33,1.5,4.0,-0.5,1.71,-13.51,-8.0,1.5,,0.4,,0.7,1.0,-1.0,,9.35,1.14,0.54,,4.07,56,0.5417963787,0.5053557053
2025,2,Georgia,Marshall,38.5,38,45,7,39.78,28.99,21.55,22.19,29.59,39.86,28.15,,24.5,39.86,20.62,12.25,29.26,12.19,8,,37.03,,29.94,33.09,,31.02,7.0,27.2,29.51,22.83,39.74,39.5,28.5,29.42,22.51,38.5,40.0,32.3,27.49,35.6,25.0,32.1,,43.4,,39.3,35.3,38.0,,39.15,30.55,21.59,,9.19,52,0.3072360426,0.9446495344
2025,2,Indiana,Old Dominion,23.5,13,27,14,22.98,25.12,28.09,17.57,17.17,23.02,19.31,,14.0,23.02,23.99,17.07,24.7,20.83,3,,24.45,,25.5,25.61,,23.53,23.0,21.4,24.22,25.13,22.96,23.5,18.0,15.3,30.86,23.5,27.0,34.5,28.92,28.3,28.0,35.2,,23.2,,23.2,31.7,23.5,,35.05,26.01,28.0,,6.36,41,0.5279713479,0.925681075
2025,2,Kentucky,Toledo,10.0,8,24,16,12.14,17.89,0.39,9.15,8.24,12.16,11.65,,2.0,12.16,16.58,5.06,11.24,10.32,1,,9.06,,1.61,14.08,,11.36,-5.0,13.6,11.87,14.42,12.13,9.5,3.2,10.42,13.62,11.5,8.0,21.3,11.39,-0.18,15.0,18.9,,12.2,,10.0,17.8,10.0,,24.3,12.09,6.28,,6.73,40,0.5286687982,0.7427852552
2025,2,Louisiana-Lafayette,Rice,10.0,-2,12,14,20.83,10.1,7.53,7.44,13.44,20.87,12.22,,13.5,20.87,11.26,13.52,12.86,8.66,6,,11.78,,14.94,8.19,,11.41,16.0,13.2,12.16,6.64,20.81,11.5,15.5,6.14,10.87,14.5,13.0,8.7,17.29,20.87,12.0,9.7,,13.8,,14.0,9.8,10.0,,19.25,6.18,10.73,,4.67,26,0.5686099349,0.7814674781
2025,2,Maryland,Florida Atlantic,14.0,32,39,7,16.12,21.81,10.93,17.84,14.47,16.15,19.63,,17.0,16.15,19.11,14.41,17.3,12.08,5,,18.61,,16.61,17.45,,15.72,4.0,17.1,16.38,19.95,16.1,14.5,7.0,5.36,20.5,17.5,13.0,27.0,20.92,12.41,16.0,24.4,,16.1,,15.1,21.9,14.5,,28.75,15.67,18.36,,5.59,46,0.5777230609,0.847999721
2025,2,Massachusetts,Temple,-2.0,-32,10,42,-2.13,-0.63,9.24,0.98,-6.99,-2.14,4.52,,0.5,-2.14,1.69,-0.94,-1.12,-0.47,-2,,-8.81,,-1.17,-0.71,,1.23,11.0,-4.8,-1.05,1.95,-2.13,-2.0,-2.8,1.96,3.53,1.5,-7.0,-2.4,1.4,-5.15,1.0,-0.6,,-2.9,,-2.2,-1.7,-2.0,,-7.5,-0.15,-2.89,,3.98,52,0.5214409438,0.4727196713
2025,2,Miami (Fla.),Notre Dame,-3.0,3,27,24,-3.2,-10.72,-4.97,-5.55,-12.81,-3.22,-8.72,,-14.5,-3.22,-9.18,-8.7,-6.11,-10.26,-5,,-5.74,,0.78,-7.35,,-5.9,9.0,-8.7,-5.82,-3.41,-3.2,-2.5,-1.7,-1.13,-7.69,-2.5,-8.0,-6.8,-0.91,-3.79,-16.0,-6.0,,-4.9,,-4.5,-5.1,-3.5,,-2.9,-10.45,-8.6,,4.77,51,0.4255897505,0.3562161131
2025,2,Michigan,New Mexico,34.5,17,34,17,39.51,34.98,22.17,28.29,42.4,39.59,32.01,,34.5,39.59,31.07,17.04,33.49,21.76,12,,40.0,,29.67,35.69,,37.01,8.0,33.7,33.66,25.84,39.46,34.5,30.0,30.41,32.52,35.0,40.0,45.5,40.35,33.62,28.0,46.4,,42.9,,33.3,43.6,34.5,,27.8,32.83,23.19,,8.95,51,0.4779005296,0.9669508228
