season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin,linewayward,linebig200,linecfp,linefluker
2021,2,Cincinnati,Miami (Ohio),23.0,35,49,14,16.74,21.32,11.6,24.47,15.01,23.02,16.54,12.0,22.21,19.5,16.54,13.33,27.67,15.96,20.2,16.8,-2.0,36.05,17.88,41.31,,20.29,,,0.96,19.0,13.99,17.02,18.97,29.0,20.5,31.0,25.38,7.35,21.9,,27.8,,18.1,23.0,21.72,17.45,,,,3.0,16.4,26.0,,24.0,,22.5,19.0,29.8,30.86,8.03,63,0.4374613024,0.8719364741,,,,
2021,2,Clemson,Georgia,3.0,-7,3,10,1.35,4.21,0.25,9.16,1.95,8.88,1.35,1.0,4.4,3.0,1.35,2.54,5.8,4.57,3.36,2.47,10.0,4.8,5.84,1.81,,0.42,,,0.77,2.54,2.34,1.35,6.83,5.0,4.0,3.0,1.39,10.04,-0.8,,3.6,,-1.4,3.0,1.51,1.9,,,,1.0,-2.3,7.0,,3.4,,3.0,7.5,4.29,9.56,3.21,13,0.5088672493,0.5821778606,,,,
2021,2,Florida,Florida Atlantic,23.5,21,35,14,24.38,24.99,18.53,17.93,29.23,11.69,24.18,4.0,26.53,17.0,24.18,11.08,30.28,15.0,23.0,28.42,11.0,37.15,17.4,29.44,,11.75,,,0.88,24.66,27.0,24.66,23.83,30.0,24.5,29.0,27.43,11.48,32.3,,25.7,,32.7,23.5,30.1,32.6,,,,10.0,32.4,23.0,,17.0,,23.5,23.0,30.4,30.21,8.68,49,0.4889771879,0.8981616466,,,,
2021,2,Florida St.,Notre Dame,-7.0,-3,38,41,-4.06,-12.43,-6.78,-24.1,-12.95,-9.83,-4.26,-7.0,-11.59,-17.5,-4.26,-20.07,-23.26,-10.23,-11.49,-17.68,11.0,-23.25,-9.42,-23.63,,-14.5,,,-1.03,-10.91,-15.33,-3.78,-7.75,-22.0,-9.5,-9.0,-15.87,-3.99,-4.7,,-8.7,,-4.1,-7.5,-12.65,-24.9,,,,3.0,-2.4,-16.0,,-11.9,,-7.5,5.0,-23.8,,8.36,79,0.4011971107,0.2609582083,,,,
2021,2,Georgia St.,Army,2.0,-33,10,43,12.09,1.26,1.33,-8.56,-2.02,4.22,11.89,3.0,1.04,-3.0,11.89,3.23,-9.16,1.93,1.87,6.66,-6.0,-2.25,2.61,1.25,,-1.58,,,-0.11,0.5,0.17,12.37,5.02,-2.0,4.0,-1.0,-2.33,8.12,-0.9,,-1.8,,-0.6,2.0,14.0,-0.35,,,,-1.0,-0.01,6.0,,0.5,,2.0,9.0,-1.08,-6.78,5.61,53,0.4969197509,0.5442177125,,,,
2021,2,Georgia Tech,Northern Ill.,18.5,-1,21,22,2.02,15.09,8.05,0.13,5.8,5.82,1.82,6.0,15.79,8.0,1.82,8.71,10.19,6.51,10.37,11.5,7.0,16.35,-5.04,10.94,,9.25,,,0.22,10.94,11.23,2.3,14.01,14.0,13.0,24.0,11.38,24.89,15.2,,17.8,,14.3,17.5,19.54,3.35,,,,10.0,11.7,16.0,,7.9,,18.0,17.0,16.94,13.93,6.55,43,0.3179401149,0.7270507838,,,,
2021,2,Houston,Texas Tech,1.5,-17,21,38,0.59,-0.24,-8.96,-0.13,-3.42,7.14,0.39,7.0,0.15,4.0,0.39,-3.66,-1.15,-0.39,0.45,7.71,6.0,3.85,4.15,2.75,,0.83,,,0.01,0.39,-5.03,0.87,-5.02,5.0,-6.5,0.01,2.4,-5.54,2.8,,4.4,,-1.3,1.5,-7.67,0.85,,,,-4.0,1.1,5.0,,1.4,,-1.0,6.5,-5.11,-0.01,4.31,59,0.4745509141,0.5109127976,,,,
2021,2,Illinois,Texas-San Antonio,5.0,-7,30,37,11.0,6.43,16.24,1.29,18.01,5.88,-33.89,-5.0,7.16,0.01,8.37,-0.01,11.96,12.02,5.0,8.11,-1.0,10.85,2.43,2.44,,3.29,,,0.39,7.1,14.55,-25.48,4.71,9.0,6.5,8.0,2.92,14.33,8.8,,8.8,,7.2,5.0,6.0,3.65,,,,11.0,7.1,4.0,,3.2,,5.5,-1.5,8.53,13.27,9.62,67,0.5,0.6061673616,,,,
2021,2,Iowa,Indiana,3.5,28,34,6,5.83,5.02,6.31,11.42,10.39,6.28,5.63,4.0,4.89,6.5,5.63,6.2,8.05,7.13,5.38,5.12,3.0,8.05,8.04,8.13,,0.5,,,0.8,5.63,4.95,6.11,2.85,11.0,5.5,6.0,5.41,-1.66,1.1,,3.1,,-0.4,3.5,2.39,6.3,,,,3.0,0.4,4.0,,3.1,,3.5,11.5,7.45,9.26,3.22,40,0.5461988242,0.6301077263,,,,
2021,2,Kansas St.,Stanford,3.5,17,24,7,-1.53,-1.99,0.9,1.49,1.64,4.85,-1.53,1.0,-1.98,4.5,-1.53,-2.13,1.68,7.94,-0.85,-12.81,-2.0,-8.6,-1.14,5.63,,-6.25,,,-0.16,-1.14,-1.17,-1.53,-2.33,-3.0,1.5,0.01,-2.5,-4.59,1.5,,1.4,,1.1,2.5,-0.55,-8.5,,,,-1.0,2.6,-2.0,,3.0,,3.0,-2.0,-7.52,3.77,3.95,31,0.3951551757,0.4792806966,,,,
2021,2,Kentucky,Louisiana-Monroe,31.0,35,45,10,33.31,31.04,17.69,27.12,28.55,23.1,33.11,18.0,32.56,18.5,33.11,17.28,37.51,17.06,29.19,32.37,5.0,45.65,27.88,41.56,,19.67,,,0.63,31.04,29.79,33.59,28.69,41.0,28.5,38.0,29.25,25.98,35.9,,34.0,,35.3,31.0,30.85,32.55,,,,10.0,33.3,39.0,,25.0,,31.0,18.5,45.96,36.19,10.08,55,0.4616553216,0.9397241048,,,,
2021,2,Maryland,West Va.,-2.5,6,30,24,-8.04,-4.83,-1.07,-9.04,-3.71,-3.84,-8.24,-2.0,-4.78,-10.0,-8.24,-5.27,-7.94,-5.01,-4.81,4.47,-4.0,-2.75,-14.8,-23.44,,-4.92,,,-0.71,-3.84,-1.37,-7.76,-0.44,-8.0,-4.5,-3.0,-8.76,-0.97,-3.8,,-1.2,,-3.5,-2.5,5.04,-0.8,,,,3.0,-3.5,-10.0,,-6.7,,-3.0,1.0,-9.37,-3.2,4.14,54,0.4440074799,0.3846788437,,,,
