season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,linedwig,linepiratings,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2023,2,Central Florida,Kent,36.0,50,56,6,28.6,22.13,18.24,20.19,13.81,15.69,28.69,19.0,25.8,15.5,28.68,11.12,23.6,,21.54,12.48,6.0,11.45,33.7,,15.08,,,20.4,21.1,10.2,28.6,21.31,14.0,31.0,36.0,,47.37,21.6,,30.2,,19.1,34.5,34.5,26.2,,,25.0,21.1,15.64,24.5,,36.0,7.0,12.69,23.07,8.57,62,0.2113809295,0.8837889078
2023,2,Colorado St.,Washington St.,-10.5,-26,24,50,-12.33,-17.84,-19.5,-28.84,-12.59,-13.1,-12.39,-9.0,-20.38,-12.5,-12.38,-10.2,-18.14,-11.3,-14.37,-10.65,-7.0,-17.95,-12.01,,-10.96,,,-16.9,-12.85,-11.06,-12.33,-8.2,-15.0,-16.5,-16.0,,-9.6,-16.7,,-10.4,,-16.0,-11.0,-17.8,-16.5,,,-32.0,-18.5,-24.21,-7.7,,-11.0,7.5,-13.92,-16.92,6.32,74,0.4103985919,0.2001436338
2023,2,Connecticut,NC St.,-14.0,-10,14,24,-16.52,-13.39,-23.73,-21.75,-14.83,-21.86,-16.6,-10.0,-16.4,-16.5,-16.59,-4.37,-17.56,,-14.39,-4.95,-8.0,-13.75,-16.74,,-8.67,,,-20.2,-16.3,-11.54,-16.52,-16.81,-17.0,-16.5,-18.0,,-7.04,-15.0,,-14.3,,-16.0,-14.0,-5.7,-16.3,,,-17.0,-16.3,-18.06,-12.6,,-14.0,7.0,-10.88,-20.81,5.96,38,0.4908255468,0.1980511
2023,2,Duke,Clemson,-13.5,22,29,7,-12.65,-10.08,-15.8,-8.03,-11.53,-12.1,-12.71,-8.0,-9.28,-19.0,-12.7,-12.5,-15.01,-5.27,-9.32,-3.33,-10.0,-6.75,-15.02,,-3.25,,,-14.1,-8.74,-11.46,-12.64,-18.4,-8.0,-11.5,-6.0,,-3.61,-6.5,,-14.1,,-5.7,-13.0,2.2,-3.3,,,-7.0,-8.2,-6.89,-7.3,,-13.5,-1.0,-3.51,-9.31,4.96,36,0.5992218247,0.2876069595
2023,2,Florida St.,LSU,-2.5,21,45,24,-6.85,-3.91,-4.18,4.12,-3.2,-0.84,-6.87,-1.0,-3.12,-5.5,-6.88,-6.25,-1.2,2.05,-2.14,-0.4,-5.0,-4.2,0.27,,-1.46,,,-8.8,-2.43,-2.46,-6.85,-6.14,-1.0,-2.0,4.0,,2.8,-2.4,,-3.3,,-2.1,-2.5,1.0,-1.4,,,-3.0,-1.6,-2.55,-1.8,,-2.5,16.0,-1.4,-2.78,4.23,69,0.508740943,0.4481823595
2023,2,Georgia Tech,Louisville,-7.0,-5,34,39,-7.6,-8.99,-12.37,-19.56,-8.89,-12.77,-7.64,-5.0,-10.25,-8.0,-7.64,-5.22,-11.97,-7.75,-10.69,-11.8,-2.0,-14.35,-8.78,,-11.25,,,-8.9,-10.08,-7.14,-7.6,-7.65,-11.0,-8.0,-7.0,,-13.34,-16.7,,-9.9,,-13.6,-7.5,-14.6,-16.2,,,-19.0,-13.8,-18.15,-4.0,,-7.0,-1.0,-12.22,-16.66,4.36,73,0.4113233536,0.2580580201
2023,2,Hawaii,Stanford,-3.0,-13,24,37,-6.12,-10.99,-13.56,-0.77,-7.73,-0.01,-5.73,-2.0,-12.63,-2.0,-5.99,-6.07,-8.75,-5.31,-5.93,-4.19,1.0,-7.35,-7.9,,-1.2,,,-6.7,-6.1,-7.23,-7.1,-1.98,-4.0,-10.5,-9.0,,9.85,-10.3,,-1.4,,-9.4,-3.5,-2.5,-14.9,,,-15.0,-12.8,-15.72,-5.2,,-3.5,8.5,-1.11,-10.19,5.74,61,0.4310981008,0.3626796644
2023,2,Houston,Texas-San Antonio,-2.5,3,17,14,2.06,1.91,6.46,-1.21,4.61,0.98,2.04,-1.0,1.93,1.0,2.05,1.83,-0.35,-0.56,2.0,4.07,1.0,1.45,3.18,,-4.71,,,7.5,1.98,1.11,2.06,1.51,3.0,2.5,-5.0,,-4.88,6.4,,-3.3,,6.3,-1.5,-4.2,10.6,,,5.0,6.7,2.11,-0.4,,-2.5,6.0,-0.84,2.32,3.82,31,0.6085774528,0.5487464178
2023,2,Illinois,Toledo,9.0,2,30,28,11.3,12.64,19.04,29.37,11.59,9.32,11.33,9.0,14.67,3.0,11.32,6.57,16.77,13.04,13.89,12.39,-2.0,28.45,12.12,,5.29,,,12.9,12.25,16.79,11.3,11.23,20.0,9.0,12.0,,7.87,17.3,,7.2,,16.6,10.0,11.7,27.0,,,21.0,17.9,20.87,11.1,,9.0,2.5,16.16,19.14,6.7,58,0.6117219034,0.7899243956
2023,2,Indiana,Ohio St.,-30.0,-20,3,23,-28.48,-25.43,-24.14,-48.57,-19.78,-26.69,-28.59,-22.0,-28.48,-28.5,-28.58,-16.29,-27.8,-11.95,-26.9,-20.19,-10.0,-25.75,-31.11,,-12.63,,,-23.9,-27.25,-25.42,-28.48,-32.75,-26.0,-27.5,-26.0,,-36.67,-30.8,,-29.6,,-24.3,-29.5,-41.1,-35.2,,,-32.0,-26.0,-29.34,-25.5,,-30.5,-12.5,-29.44,-28.15,7.65,26,0.5698154583,0.0634556539
