season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineround,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2024,2,Hawaii,UCLA,-14.0,-3,13,16,-12.45,-14.13,-24.42,-28.7,-20.21,-9.69,-12.82,-12.69,-5.0,-22.36,-9.0,-13.28,-9.69,-24.57,-9.23,-15.75,-13.66,-2.0,-26.95,-16.05,,-14.46,-20.92,,-20.44,,,-18.9,-14.5,-22.53,-11.29,-14.0,-12.6,-14.54,-23.13,-17.0,-18.0,-13.3,-20.02,-15.05,-29.0,-12.6,,-12.2,,-14.0,-14.0,,-23.9,-14.95,-15.25,14.5,6.39,29,0.4592722953,0.178680634
2024,2,Houston,UNLV,3.0,-20,7,27,1.19,-5.56,7.19,-17.09,5.67,5.18,1.18,7.52,9.0,-2.49,6.0,1.18,-7.21,-0.09,-4.84,1.12,-0.94,3.0,-1.05,1.62,,-6.17,4.65,,-1.69,,,7.4,1.09,7.96,1.18,2.5,-2.8,5.69,-3.4,3.0,1.0,12.9,0.34,-10.01,-4.0,14.1,,4.8,,11.3,3.0,,-3.8,-0.06,-1.87,8.3,6.44,34,0.4563058092,0.526064274
2024,2,Indiana,Florida Intl.,22.0,24,31,7,20.64,11.62,26.97,11.66,19.88,9.65,20.68,22.51,11.0,20.37,14.0,20.69,6.9,23.59,12.65,19.56,16.46,6.0,28.65,25.47,,11.61,25.61,,28.19,,,20.2,20.62,20.67,20.61,21.5,21.0,17.25,19.97,18.5,29.0,29.4,19.05,9.72,16.0,30.2,,22.5,,26.7,22.0,,24.05,25.52,11.12,21.6,6.79,38,0.4438021017,0.8713945756
2024,2,Jacksonville St.,Coastal Carolina,3.0,-28,27,55,-0.3,1.6,-4.08,10.19,-0.52,4.43,-0.3,-0.51,-6.0,2.54,-11.0,-0.3,1.1,4.81,2.21,1.28,1.73,-1.0,5.95,0.64,,1.06,3.9,,5.0,,,2.3,1.5,1.83,-0.29,3.0,3.1,1.16,2.08,4.0,12.0,-0.7,1.5,0.54,-1.0,2.2,,4.4,,1.5,3.0,,-8.55,2.7,0.64,6.3,4.18,82,0.4582787257,0.5310737164
2024,2,Kentucky,Southern Miss.,27.0,31,31,0,25.76,20.92,26.22,13.42,18.76,27.69,25.82,21.96,16.0,25.52,16.5,25.83,18.45,28.06,16.97,24.72,19.72,5.0,28.35,28.54,,21.61,25.86,,29.22,,,23.8,25.79,23.5,25.72,28.0,17.5,17.77,25.46,24.0,30.0,29.0,31.71,33.33,27.0,31.4,,27.9,,29.3,27.0,,29.55,33.53,32.0,25.2,6.03,31,0.446594228,0.9272729949
2024,2,Maryland,Connecticut,20.0,43,50,7,23.18,24.07,30.17,25.85,22.44,22.6,23.24,24.55,16.0,28.41,20.5,23.24,21.72,31.8,17.56,25.14,21.41,7.0,34.05,24.15,,23.56,28.6,,31.48,,,28.4,24.77,25.39,23.15,20.0,23.0,16.75,27.58,24.5,31.0,26.2,31.72,20.46,31.0,26.7,,23.2,,25.9,21.0,,29.95,24.98,25.28,29.5,5.24,57,0.6207511061,0.9336801317
2024,2,Massachusetts,Eastern Mich.,2.5,-14,14,28,-7.75,-2.04,-5.29,-2.82,-1.43,0.66,-7.78,-6.6,1.0,0.32,-9.5,-7.78,-3.31,-6.7,1.2,-1.71,2.29,-7.0,-0.45,-5.76,,-3.67,-3.33,,-8.26,,,-7.6,-1.43,-1.43,-7.74,3.0,-0.4,2.57,7.35,1.0,-8.0,6.8,0.45,-2.5,1.0,5.7,,0.0,,5.0,2.0,,2.75,5.96,2.49,-3.2,4.71,42,0.3996517217,0.4588744795
2024,2,Michigan,Fresno St.,21.0,20,30,10,21.79,34.13,30.63,35.86,23.69,46.2,21.83,25.31,15.0,36.16,23.5,21.83,33.03,33.48,18.21,27.51,31.8,6.0,39.65,20.25,,18.95,30.28,,48.61,,,29.4,27.45,30.35,21.75,21.0,7.4,20.61,33.18,21.0,26.0,32.5,24.4,16.97,31.0,32.9,,24.1,,30.1,21.5,,31.3,28.9,24.78,25.0,8.92,40,0.6396440518,0.9345748883
2024,2,Michigan St.,Florida Atlantic,13.0,6,16,10,8.3,8.58,13.8,-5.01,12.23,4.7,8.31,10.0,12.0,3.57,8.0,8.32,11.29,7.15,8.84,9.68,13.81,3.0,6.85,12.07,,9.39,7.47,,15.79,,,6.5,9.69,12.51,8.29,14.0,10.5,6.75,5.16,11.0,16.0,14.3,12.91,14.38,6.0,11.0,,12.8,,11.5,13.0,,8.1,11.73,9.15,12.2,4.1,26,0.4197619413,0.7225484824
2024,2,Minnesota,North Carolina,-2.5,-2,17,19,1.43,-3.65,-0.48,-8.74,0.64,-8.04,1.43,1.35,3.0,-7.93,0.5,1.43,-1.34,-0.12,-3.33,-1.74,-2.2,1.0,-2.65,1.56,,-5.89,-2.76,,3.56,,,-0.6,-1.47,-2.18,1.43,-2.5,0.5,-1.84,-8.62,1.5,-1.0,-1.8,-1.76,6.2,-7.0,-2.0,,0.1,,-1.6,-2.5,,-8.15,-0.26,-6.22,1.0,3.58,36,0.5186245577,0.4574252021
2024,2,Nebraska,UTEP,27.5,33,40,7,29.72,15.68,23.22,13.1,18.11,25.77,29.79,18.6,16.0,17.56,9.5,29.78,14.68,20.29,15.42,22.77,15.53,3.0,21.05,36.06,,13.28,25.22,,17.04,,,21.4,22.31,18.37,29.67,27.5,24.0,18.33,16.98,28.0,39.0,31.1,25.3,30.38,25.0,34.7,,31.4,,31.6,27.0,,17.75,27.92,24.12,26.0,7.95,47,0.3949559143,0.9001765293
2024,2,Northwestern,Miami (Ohio),3.0,7,13,6,5.58,2.75,11.67,1.94,8.14,16.48,5.58,9.23,2.0,4.86,-1.0,5.58,1.61,7.83,2.2,6.58,3.89,-2.0,11.95,7.63,,0.78,8.67,,15.49,,,7.0,6.8,12.18,5.57,2.5,1.0,8.2,9.79,3.0,7.0,10.0,7.29,2.38,12.0,7.2,,2.8,,6.6,3.5,,7.45,5.07,1.69,12.5,4.39,19,0.5860428263,0.6552512111
2024,2,Ohio St.,Akron,48.5,46,52,6,48.5,47.63,45.05,44.78,41.86,44.88,48.6,48.29,27.0,50.75,38.5,48.61,45.95,57.09,19.49,47.06,41.15,19.0,51.05,50.44,,36.33,55.64,,48.9,,,55.1,48.47,39.66,48.43,48.5,37.5,40.32,52.59,50.5,59.0,51.2,47.1,58.22,54.0,51.5,,50.9,,51.6,48.5,,47.45,60.99,59.82,39.9,9.45,58,0.4689376878,0.9945694942
