season,week,away,home,market_home_margin_close,canonical_model_id,model_name,prediction_home_margin,picker,source_table,orientation_method
2026,2,NC St.,Virginia,4.0,linecfbp_dratings,DRatings,4.7,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_dratings,DRatings,7.0,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_dratings,DRatings,10.3,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_dratings,DRatings,3.5,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_dratings,DRatings,25.4,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_dratings,DRatings,4.2,DRatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_david_sasser,David Sasser,1.5,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_david_sasser,David Sasser,35.9,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_david_sasser,David Sasser,8.3,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_david_sasser,David Sasser,14.2,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_david_sasser,David Sasser,15.5,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_david_sasser,David Sasser,6.4,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_david_sasser,David Sasser,26.9,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_david_sasser,David Sasser,7.1,David Sasser,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,dokter_entropy,Dokter Entropy,4.9,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,dokter_entropy,Dokter Entropy,41.9,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,dokter_entropy,Dokter Entropy,7.2,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,dokter_entropy,Dokter Entropy,8.5,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,dokter_entropy,Dokter Entropy,11.2,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,dokter_entropy,Dokter Entropy,7.4,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,dokter_entropy,Dokter Entropy,35.3,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,dokter_entropy,Dokter Entropy,3.0,Dokter Entropy,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,espn_fpi,ESPN FPI,1.5,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,espn_fpi,ESPN FPI,33.9,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,espn_fpi,ESPN FPI,6.8,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
