lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,linenewbury,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
12.5,10.0,Central Mich.,New Mexico,6.5,,,10.0,,6.28,14.944,,,,,,,10.63,9.48,9.0,,8.8,,,,,10.34,13,,13.66,,,,0,,5.03,8.87,11.857886185,7.54,14.7251,,,13.6,14.6,,14.4445,,14.71,,8.54,,,,,10.827574309,3.2318272702,10.485,0.5144136076,0.7472402997,10.0
20.5,20.5,Wisconsin,Notre Dame,16.0,,,20.5,,25.7,12.5,,,,,,,11.87,20.46,19.0,,22.5,,,,,19.9,30,,25.12,,,,0,,37.05,27.89,23.102159969,18.22,23.9788,,,24.0,21.8,,20.4295,,26.24,,21.9,,,,,22.383022998,5.7788008406,22.2,0.532073533,0.9066360432,20.5
49.5,50.0,Ball St.,Ohio St.,37.0,,,50.0,,42.38,38.278,,,,,,,19.15,46.45,35.5,,37.0,,,,,45.8,57,,54.4,,,,0,,54.6,48.47,43.169035836,40.06,59.5738,,,58.1,52.2,,48.5415,,52.53,,45.76,,,,,45.798116792,9.7292509967,46.125,0.4323805454,0.992910926,50.0
40.5,41.5,UTEP,Oklahoma,29.0,,,41.5,,40.05,37.722,,,,,,,19.0,37.5,20.5,,30.5,,,,,32.93,42,,39.49,,,,0,,32.1,38.03,34.122553636,31.55,41.2453,,,45.7,38.7,,45.5385,,41.36,,32.77,,,,,35.490417682,7.197317338,37.611,0.4002709211,0.978796861,41.0
40.5,40.5,UTEP,Oklahoma,29.0,,,40.5,,40.05,37.722,,,,,,,19.0,37.5,20.5,,30.5,,,,,32.93,42,,39.49,,,,0,,32.1,38.03,34.122553636,31.55,41.2453,,,45.7,38.7,,45.5385,,41.36,,32.77,,,,,35.490417682,7.197317338,37.611,0.4165975963,0.978796861,40.0
24.5,24.5,Boise St.,Oregon,23.0,,,24.5,,16.73,11.333,,,,,,,16.48,24.55,15.0,,24.5,,,,,18.92,30,,26.91,,,,0,,19.3,26.56,27.224471642,17.04,26.5009,,,24.5,25.4,,18.445,,26.33,,21.36,,,,,22.004168582,5.037855492,23.75,0.4572099677,0.9059899736,24.5
23.5,24.5,Marshall,Penn St.,21.5,,,24.5,,12.02,26.056,,,,,,,13.82,30.13,10.5,,23.0,,,,,25.34,28,,27.69,,,,0,,19.58,26.56,26.452232921,21.39,27.8171,,,27.5,24.5,,29.8585,,29.67,,25.12,,,,,23.825191646,5.8172542707,25.698,0.4884998552,0.9198855199,24.5
16.5,16.5,Miami (Ohio),Pittsburgh,7.5,,,16.5,,12.36,18.278,,,,,,,8.4,18.13,14.5,,12.8,,,,,15.97,18,,19.66,,,,0,,11.82,17.63,15.62485836,12.55,18.5886,,,22.0,17.4,,20.8215,,15.46,,14.71,,,,,15.610147918,3.8516471838,15.79742918,0.4845666805,0.8294665255,16.5
30.5,29.0,Massachusetts,Rutgers,28.0,,,29.0,,16.61,21.611,,,,,,,19.17,35.93,9.0,,25.0,,,,,30.11,39,,41.78,,,,0,,23.01,34.71,40.834904561,26.75,37.1934,,,30.8,36.9,,29.246,,33.42,,31.92,,,,,29.549765228,8.5925171559,30.455,0.5090453161,0.9486636761,29.0
35.5,36.5,Kent,South Carolina,21.5,,,36.5,,16.67,31.889,,,,,,,11.57,35.6,3.0,,23.5,,,,,31.88,28,,29.96,,,,0,,33.19,27.18,20.218176598,27.51,34.6779,,,37.9,35.8,,35.966,,31.41,,30.23,,,,,27.38255383,9.008408953,30.095,0.3543021196,0.9326380779,35.5
12.5,13.5,Florida Intl.,South Florida,17.0,,,13.5,,8.01,14.111,,,,,,,13.43,22.61,22.0,,14.0,,,,,18.05,25,,29.16,,,,0,,17.84,21.86,16.447450054,17.6,23.4967,,,14.8,18.1,,22.75,,14.75,,19.96,,,,,18.548757503,4.8802111003,17.945,0.5861703332,0.8671131347,14.0
-23.5,-24.5,Miami (Fla.),Stanford,-18.5,,,-24.5,,-9.35,-13.99,,,,,,,-11.51,-19.63,-18.0,,-24.0,,,,,-18.51,-24,,-25.6,,,,0,,-32.72,-18.17,-22.12383322,-15.14,-28.9875,,,-24.9,-20.0,,-22.9215,,-20.4,,-15.48,,,,,-20.19664166,5.7124270222,-19.815,0.5730169132,0.1164473201,-24.0
30.5,30.5,Texas St.,Texas,24.5,,,30.5,,23.56,20.222,,,,,,,15.16,27.6,8.5,,25.5,,,,,24.69,22,,22.29,,,,0,,19.72,22.21,19.71717575,21.24,26.392,,,30.3,24.1,,29.1585,,31.54,,22.76,,,,,23.057983788,5.2107099371,23.16,0.3745173394,0.915458045,29.5
38.5,41.0,Missouri St.,Texas A&M,27.5,,,41.0,,35.67,32.444,,,,,,,16.49,33.67,18.0,,29.5,,,,,33.18,31,,32.58,,,,0,,24.94,29.74,27.658647734,26.33,34.4772,,,44.6,36.6,,38.892,,36.67,,30.35,,,,,31.014592387,6.5968824218,31.722,0.336184704,0.9639177749,39.5
16.5,16.5,Sam Houston St.,Troy St.,15.0,,,16.5,,16.14,15.778,,,,,,,15.76,16.65,17.5,,16.0,,,,,17.52,24,,20.49,,,,0,,16.1,21.83,18.660678592,12.99,14.8072,,,19.3,17.0,,18.3645,,19.17,,15.07,,,,,17.40651893,2.6223655118,16.825,0.5158418265,0.859414129,16.5
-13.0,-14.0,Oklahoma St.,Tulsa,0.5,,,-14.0,,-3.09,7.722,,,,,,,14.91,-7.14,10.5,,-9.0,,,,,-9.8,4,,3.74,,,,0,,10.59,1.94,2.929636983,-6.07,-8.0701,,,-13.2,-5.5,,-5.621,,-6.18,,-5.25,,,,,-1.104473151,7.8267486462,-4.17,0.7045941136,0.4751999721,-12.5
23.5,22.0,Fresno St.,USC,15.5,,,22.0,,11.4,18.464,,,,,,,13.08,21.17,6.5,,22.5,,,,,20.84,17,,23.0,,,,0,,16.09,19.64,18.263052649,16.06,28.4189,,,16.3,17.7,,23.8035,,17.26,,20.16,,,,,18.157472632,4.762507243,17.981526325,0.4341310077,0.8624965332,21.5
22.5,24.0,Akron,Wake Forest,19.5,,,24.0,,23.72,26.611,,,,,,,15.07,26.57,16.5,,22.5,,,,,20.0,27,,25.76,,,,0,,13.58,26.02,23.052592362,18.55,24.29,,,23.3,23.9,,29.554,,25.96,,23.23,,,,,22.733379618,4.2743357403,23.51,0.4781086553,0.9158566851,24.0
21.5,24.0,Washington St.,Washington,11.0,,,24.0,,21.99,24.111,,,,,,,8.77,16.0,6.5,,23.5,,,,,16.96,19,,17.69,,,,0,,15.67,16.95,9.669922697,10.87,15.1835,,,19.8,18.5,,20.727,,18.6,,13.97,,,,,16.273071135,4.9135041843,16.955,0.3695341394,0.8354042947,23.0
21.0,21.5,Coastal Carolina,West Va.,6.0,,,21.5,,8.77,14.667,,,,,,,5.7,17.44,2.5,,15.0,,,,,16.21,11,,14.76,,,,0,,6.43,11.36,13.238841401,13.35,13.8181,,,21.3,19.3,,16.478,,17.38,,11.39,,,,,12.80459707,4.9349439272,13.58405,0.3539186349,0.7786021059,20.0
