lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
18.5,19.5,Florida St.,Alabama,24.0,,,,30.6,11.11,11.102,16.68,20.334,8.1,17.5,19.1,18.1,17.3,,19.15,16.0,,20.0,20.38,13.97,15.78,33.1,,19.76,31.0,17.746194866,13.41,,,22.463025645,0,,25.24,22.66,19.433155929,21.38,27.2771,,,23.0,16.1,,14.2835,23.0,24.08,25.427,22.49,17.37,,19.869313613,5.6380272107,19.433155929,0.5063063136,0.880069476,19.5
20.5,17.5,Charlotte,Appalachian St.,22.5,,,,18.09,14.35,17.503,16.45,30.123,2.7,7.4,11.0,8.7,15.0,,16.49,10.5,,18.0,22.6,16.2,15.76,42.97,,20.92,27.0,15.263611586,14.64,,,12.850335943,0,,21.92,6.79,25.225045599,24.05,13.0451,,,21.6,9.6,,10.801,27.0,24.71,11.537,12.69,20.09,,17.116231232,7.6737935134,16.2,0.4936037333,0.8333881809,17.5
35.5,34.5,Northern Ill.,Arizona,18.5,,,,33.84,31.86,34.565,24.01,29.766,17.8,39.5,37.2,40.1,24.5,,31.93,23.0,,25.5,19.82,27.71,27.83,7.4,,26.89,30.0,28.738967217,33.97,,,33.807781598,0,,22.51,32.01,35.057388848,20.66,29.0514,,,34.1,27.9,,35.434,20.0,28.22,32.375,18.95,38.11,,28.646158219,7.1257522315,29.0514,0.4027165939,0.9495884192,34.0
-23.5,-24.5,Georgia,Arkansas,-24.5,,,,-31.81,-20.09,-13.128,-18.71,-20.556,2.7,-23.6,-24.9,-24.0,-23.5,,-17.56,-14.5,,-23.5,-7.99,-16.86,-17.05,-3.68,,-19.59,-33.0,-27.21019358,-14.7,,,-25.29421068,0,,-13.45,-20.73,-15.40020234,-14.85,-22.0051,,,-27.9,-21.1,,-15.0675,-29.0,-23.74,-17.747,-15.14,-14.93,,-19.00252019,7.1967394554,-19.59,0.5913886543,0.1385914969,-24.0
-2.5,-2.5,Florida,Auburn,3.5,,,,4.04,-0.07,0.542,0.08,10.682,-0.2,-2.8,-3.2,-3.3,2.4,,1.09,4.5,,-1.8,-0.91,-0.88,-0.58,-1.69,,-2.27,-10.0,0.0624547836,5.45,,,-7.195940799,0,,4.18,1.03,4.418901696,-2.55,2.9853,,,-4.6,-1.2,,3.85,-15.0,0.2,-9.591,-1.34,0.03,,-0.146750981,4.1225091842,-0.07,0.5406703909,0.496443649,-2.5
17.5,19.5,Louisiana Tech,Baylor,8.5,,,,15.04,2.23,16.929,9.83,14.038,11.2,21.7,20.3,22.2,16.7,,19.48,2.5,,16.0,14.11,15.68,17.67,8.62,,13.63,1.0,17.813641194,10.85,,,18.610899763,0,,5.59,11.05,10.757246151,,15.5366,,,8.6,18.5,,18.55,-1.0,15.73,20.791,20.24,15.67,,13.989599621,5.6590737976,15.6033,0.4067869724,0.7959341904,19.0
20.5,18.5,Georgia St.,Central Florida,8.0,,,,24.48,18.59,11.52,20.17,17.772,-2.5,27.0,25.2,28.2,17.0,,23.88,10.5,,17.0,18.62,20.39,19.92,16.83,,21.51,16.0,16.862708481,21.6,,,23.755908728,0,,14.83,16.73,13.154464089,15.75,18.1443,,,20.9,21.4,,23.45,-8.0,18.2,14.717,15.03,17.03,,18.046753751,5.7504481259,18.1443,0.4922696958,0.8565938586,18.5
2.0,1.5,Wyoming,Central Mich.,5.0,,,,4.77,9.76,7.486,3.14,12.875,10.6,2.7,2.6,2.9,-1.6,,-2.97,13.5,,1.3,2.43,1.72,2.01,3.56,,0.12,8.0,1.670906896,1.83,,,4.8825414317,0,,0.97,27.03,2.110000048,-0.24,2.4916,,,1.7,2.8,,5.6,-4.0,5.9,10.44,2.93,6.15,,4.7476013822,5.450522564,2.9,0.5553844154,0.6109757781,1.5
14.5,14.5,Miami (Ohio),Cincinnati,6.5,,,,16.89,9.08,14.235,19.65,11.326,17.0,24.5,20.8,23.5,19.0,,22.66,11.0,,12.4,19.07,16.62,16.07,27.17,,25.09,22.0,22.223261147,18.9,,,17.472431967,0,,14.79,19.96,7.766908364,23.22,24.4378,,,19.8,13.8,,15.7815,24.0,17.6,17.377,15.44,23.83,,17.913140042,5.113831893,17.6,0.5583777874,0.8577411591,15.0
6.0,3.5,North Carolina,Clemson,6.5,,,,10.13,5.44,8.062,2.58,7.134,-1.7,12.3,12.3,12.7,7.9,,10.66,7.0,,4.0,4.64,7.68,8.48,0.38,,2.06,-8.0,1.1167449565,12.39,,,11.938228393,0,,-2.14,5.39,10.976617994,-2.77,3.9666,,,3.6,8.7,,18.9,-17.0,6.93,,8.59,6.15,,6.2936526866,5.3912982466,6.965,0.5477108231,0.6458257924,4.0
