lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
29.5,29.5,Michigan St.,Notre Dame,23.5,,,,36.83,29.9,21.689,20.0,23.102,28.9,33.7,33.9,36.2,27.2,16.69,27.32,33.0,,24.5,23.88,23.83,25.64,24.21,,27.09,25.0,27.805100489,28.06,,,31.110634047,0,,29.27,26.46,23.352007392,18.93,23.1258,,27.1,30.9,27.8,,27.657,14.0,27.48,28.572,24.16,24.17,,26.811717349,4.484124681,27.1,0.4536988046,0.9473234506,29.0
52.5,52.5,Kent,Ohio St.,35.5,,,,52.07,34.28,34.664,43.33,35.555,43.4,58.7,57.7,61.3,55.1,18.29,49.54,30.5,,41.0,36.18,49.01,49.51,25.46,,55.62,57.0,56.460298844,50.84,,,61.220129038,0,,42.68,49.57,37.736662382,41.04,60.9233,,72.6,58.6,51.9,,47.936,25.0,46.46,52.319,51.09,48.99,,47.407415953,11.255034752,49.51,0.4202727138,0.9924462022,52.5
21.5,23.0,New Mexico,Oklahoma,13.5,,,,20.76,19.99,13.726,13.7,18.45,19.7,27.7,28.0,27.5,22.7,5.73,25.12,11.0,,23.0,16.83,22.62,24.14,7.82,,16.33,9.0,18.451860733,18.66,,,20.841869144,0,,14.15,16.82,9.457442436,13.31,20.556,,21.8,18.8,19.6,,26.95,-13.0,13.47,11.913,21.11,18.05,,18.142058711,5.7539046743,18.66,0.4177354434,0.8578459201,22.5
2.0,3.0,East Carolina,Old Dominion,9.5,,,,4.68,9.01,6.963,1.97,7.381,8.9,1.1,1.6,2.0,0.01,11.82,-1.09,10.0,,2.3,1.81,1.15,2.65,1.15,,-0.07,-2.0,-0.861712571,0.51,,,4.0079446481,0,,11.69,7.03,4.078534239,0.1,5.3823,,13.7,3.4,7.8,,2.205,13.0,2.46,5.867,2.9,10.23,,4.3600828734,4.1303687929,2.9,0.5235316075,0.6044285871,3.0
39.5,41.0,Buffalo,Penn St.,27.5,,,,44.29,28.56,28.804,30.68,28.927,33.1,47.3,45.1,48.7,38.8,19.57,41.44,13.5,,31.5,34.56,35.87,36.12,34.41,,41.49,46.0,34.715077287,39.18,,,39.402173424,0,,25.09,39.39,33.207047591,34.94,41.933,,47.3,40.4,33.8,,39.6095,31.0,38.52,41.052,34.98,41.51,,36.249994549,7.6360879721,36.12,0.4213058447,0.9798778961,40.5
10.0,10.5,Syracuse,Pittsburgh,15.0,,,,17.98,11.33,16.988,14.12,22.328,26.9,13.3,13.3,14.1,17.9,16.72,14.06,22.0,,7.8,10.26,9.3,11.61,10.39,,15.32,23.0,13.184375193,19.84,,,14.301129228,0,,11.99,24.83,19.639554274,14.37,20.4098,,30.5,13.4,16.0,,21.7,11.0,17.7,26.398,14.65,22.47,,16.894293478,5.3411879083,15.32,0.6081592745,0.8425755341,11.5
-11.5,-9.5,Western Mich.,Rice,-4.5,,,,-15.45,-10.09,-7.908,-12.53,-19.25,1.2,-14.2,-12.6,-16.1,-14.4,-6.19,-8.66,-12.5,,-7.5,-6.99,-6.9,-6.78,-10.73,,-14.65,-19.0,-13.16919997,-14.01,,,-17.28295205,0,,-9.34,-15.87,-13.03019182,-8.9,-13.7133,,-25.0,-10.7,-16.0,,-10.1325,-14.0,-12.74,-23.412,-7.79,-9.49,,-12.06238227,5.1602623749,-12.53,0.4561240797,0.2357447097,-9.5
-24.5,-24.0,USC,Rutgers,-19.5,,,,-16.37,-19.09,-18.789,-18.28,-28.5,-19.7,-23.7,-26.0,-24.5,-27.0,-12.61,-15.34,-16.5,,-24.0,-15.31,-16.9,-17.67,-13.99,,-26.01,-35.0,-26.66317369,-20.11,,,-20.76372071,0,,-16.88,-17.63,-14.34268278,-27.3,-22.8427,,-29.2,-25.4,-16.3,,-12.95,-40.0,-20.56,-27.039,-17.05,-29.21,,-21.05406155,5.4823076139,-19.7,0.5502526151,0.1057948296,-24.0
-27.5,-27.5,North Dakota St.,Sacramento St.,-8.0,,,,-29.56,-11.17,-10.515,-17.81,-27.099,-7.4,-24.5,-22.3,-28.8,,-12.13,-20.0,-14.0,,-24.5,-18.71,-18.89,-16.82,-22.52,,-24.33,-30.0,-23.64387241,-20.69,,,-24.59118487,0,,-7.82,-29.93,-10.58791413,-23.4,-31.8865,,-26.0,-19.1,-22.9,,-18.2,-23.0,-20.5,,-24.44,-21.73,,-20.41352775,6.7849577812,-21.73,0.6177010986,0.1192975606,-26.5
-47.5,2.0,James Madison,San Diego St.,-8.5,,,,-2.02,4.49,0.527,-13.32,4.85,-2.2,4.8,4.2,4.1,-5.6,-6.41,-6.23,-2.0,,1.1,4.64,2.08,2.48,9.05,,-7.97,-9.0,3.1416263617,-5.41,,,2.6681722757,0,,-8.06,-3.71,-6.452049313,-0.99,-5.5964,,-9.0,-2.5,-1.3,,-7.0,-24.0,-2.66,-5.575,-5.78,-7.45,,-2.340720289,5.2602878101,-2.5,0.4260237597,0.444539642,1.5
