Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u,bet_team,bet_team_norm,bet_spread,is_moneyline,match_reason
1-Nov,Auburn -11,-110,1.91,L,-1.0,Auburn,auburn,-11.0,False,no unique team/spread match
1-Nov,Washington State -3.5,-110,1.91,L,-1.0,Washington State,washington state,-3.5,False,ambiguous team/spread match
1-Nov,Troy -7,-110,1.91,L,-1.0,Troy,troy,-7.0,False,no unique team/spread match
1-Nov,Arizona State +8,-110,1.91,W,0.91,Arizona State,arizona state,8.0,False,ambiguous team/spread match
4-Nov,Ohio -3,-120,1.83,W,0.83,Ohio,ohio,-3.0,False,ambiguous team/spread match
5-Nov,Toledo -13.5,-130,1.77,W,0.77,Toledo,toledo,-13.5,False,ambiguous team/spread match
8-Nov,Arkansas State +5,-120,1.83,L,-1.0,Arkansas State,arkansas state,5.0,False,ambiguous team/spread match
8-Nov,SMU -10.5,-110,1.91,W,0.91,SMU,smu,-10.5,False,no unique team/spread match
8-Nov,Arizona -3,-120,1.83,W,0.83,Arizona,arizona,-3.0,False,ambiguous team/spread match
15-Nov,Uconn -6.5,-143,1.7,W,0.7,Uconn,connecticut,-6.5,False,ambiguous team/spread match
15-Nov,Pitt +12.5,-101,1.99,L,-1.0,Pitt,pitt,12.5,False,no unique team/spread match
15-Nov,LSU -4.5,-102,1.98,L,-1.0,LSU,lsu,-4.5,False,ambiguous team/spread match
15-Nov,ASU -10.5,-113,1.88,L,-1.0,ASU,arizona state,-10.5,False,ambiguous team/spread match
15-Nov,Marshall -6.5,-146,1.68,W,0.68,Marshall,marshall,-6.5,False,no unique team/spread match
15-Nov,Iowa +7.5,-132,1.76,W,0.76,Iowa,iowa,7.5,False,ambiguous team/spread match
15-Nov,Southern Miss -2.5,-133,1.75,L,-1.0,Southern Miss,southern miss,-2.5,False,ambiguous team/spread match
22-Nov,Iowa State -3,-118,1.85,W,0.85,Iowa State,iowa state,-3.0,False,ambiguous team/spread match
22-Nov,Wake forest -15.5,-134,1.75,W,0.75,Wake forest,wake forest,-15.5,False,ambiguous team/spread match
22-Nov,SMU -2.5,-150,1.67,W,0.67,SMU,smu,-2.5,False,ambiguous team/spread match
22-Nov,Oklahoma -3.5,-124,1.81,W,0.81,Oklahoma,oklahoma,-3.5,False,ambiguous team/spread match
22-Nov,Wyoming -5.5,-111,1.9,L,-1.0,Wyoming,wyoming,-5.5,False,ambiguous team/spread match
22-Nov,Iowa -17,-109,1.92,L,-1.0,Iowa,iowa,-17.0,False,no unique team/spread match
22-Nov,UCF -13,-109,1.92,L,-1.0,UCF,ucf,-13.0,False,no unique team/spread match
22-Nov,Troy -9,-114,1.88,W,0.88,Troy,troy,-9.0,False,no unique team/spread match
22-Nov,SDSU -12,-110,1.91,W,0.91,SDSU,san diego state,-12.0,False,no unique team/spread match
29-Nov,Pitt +7,-110,1.91,L,-1.0,Pitt,pitt,7.0,False,no unique team/spread match
29-Nov,BYU -17,-116,1.86,W,0.86,BYU,byu,-17.0,False,no unique team/spread match
29-Nov,Troy +7.5,-110,1.91,W,0.91,Troy,troy,7.5,False,no unique team/spread match
29-Nov,New Mexico State -3,-105,1.95,L,-1.0,New Mexico State,new mexico state,-3.0,False,ambiguous team/spread match
29-Nov,Washington State -13,-119,1.84,W,0.84,Washington State,washington state,-13.0,False,ambiguous team/spread match
