canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
linecfbp_dratings,,,2158,,,,,,,,,,,,45,7,Open,incremental,-0.013230486794854142,-0.04977141287370919,-0.013079827285037761,12.741936978683967
linept_clean,,,3188,,,,,,,,,,,,46,7,Open,incremental,-0.013338765957688885,-0.02376810649944924,-0.013235379141140303,14.099121706398996
linecfbp_wilson_ratings,,,2158,,,,,,,,,,,,47,7,Open,incremental,-0.014593473025340897,-0.047473655032675297,-0.014427292783705982,12.85
linept_pfz,,,3229,,,,,,,,,,,,48,7,Open,incremental,-0.017146767499542432,-0.033613334891517556,-0.01701553361338072,13.899231960359245
linecfbp_david_sasser,,,74,,,,,,,,,,,,49,7,Open,incremental,-0.022028976814196365,-0.13611195746960988,-0.01701764043041658,11.044594594594596
linecfbp_sportsratings,,,74,,,,,,,,,,,,50,7,Open,incremental,-0.03162567066230504,-0.023302173450231316,-0.024431197882738134,11.87027027027027
linept_rwp,,,3101,,,,,,,,,,,,51,7,Open,incremental,-0.026813068719268633,-0.056637754046853034,-0.0265994834415882,13.715733634311512
linept_how,,,3227,,,,,,,,,,,,52,7,Open,incremental,-0.028209744131072596,-0.06697013363643405,-0.027993706764414813,13.413721722962505
linept_elo,,,3229,,,,,,,,,,,,53,7,Open,incremental,-0.029859179518712687,-0.08033174058440189,-0.029630650370816712,13.202753174357387
linept_bill,,,3228,,,,,,,,,,,,54,7,Open,incremental,-0.032749352222430306,-0.07260115700524056,-0.032498626193106166,13.625557620817844
moore_ratings,,,3226,,,,,,,,,,,,55,7,Open,incremental,-0.036057147884581565,-0.09839294257024973,-0.03578092849649998,13.2692777433354
linept_wayward,,,895,,,,,,,,,,,,56,7,Open,incremental,-0.040025686387932365,-0.13207819598693632,-0.038952416174197875,12.801910614525141
linecfbp_oddstrader_ai,,,588,,,,,,,,,,,,57,7,Open,incremental,-0.07061725809273849,-0.13631822993544154,-0.06779367461356837,13.403061224489797
linecfbp_pearatings,,,74,,,,,,,,,,,,58,7,Open,incremental,-0.1476338710452551,-0.3723939001887633,-0.11404887998155054,11.405405405405407
linecfbp_mcillece_sports,,,74,,,,,,,,,,,,59,7,Open,incremental,-0.15772704279652755,-0.3077320397942915,-0.12184597238009091,11.402702702702703
congrove,Congrove Computer Rankings,3228.0,3175,1613.0,1562.0,51.0,-95.63636363636368,13.233082403965303,0.3861059479553904,0.5080314960629921,-0.030121689334287775,0.4906426739789673,5.0,1.0,1,7,Midweek,wilson,,,,
linecfbp_room44_bets,Room44 Bets,2156.0,2097,1072.0,1025.0,35.0,-50.45454545454548,12.897077922077921,-0.14911873840445272,0.5112064854554125,-0.02406034594875798,0.48981067792345884,5.0,2.0,2,7,Midweek,wilson,,,,
keeper,Keeper,3220.0,3160,1597.0,1563.0,51.0,-111.18181818181823,13.212863354037266,0.13630434782608689,0.5053797468354431,-0.03518411967779058,0.48795171149344885,5.0,3.0,3,7,Midweek,wilson,,,,
massey,Massey Ratings,3229.0,3176,1598.0,1578.0,51.0,-125.27272727272732,12.878240941467945,0.04642304118922273,0.5031486146095718,-0.039443553927181144,0.48576653205216735,5.0,4.0,4,7,Midweek,wilson,,,,
linecfbp_jp,JP+,1652.0,1606,817.0,789.0,28.0,-46.272727272727295,12.70230024213075,-0.2685230024213075,0.5087173100871731,-0.02881240801539682,0.4842756637410603,4.0,5.0,5,7,Midweek,wilson,,,,
linept_donchess,Donchess Inference,3229.0,3111,1559.0,1552.0,51.0,-134.72727272727278,12.670678228553731,0.007754722824403811,0.5011250401800065,-0.0433067414745332,0.48356468321212165,5.0,7.0,6,7,Midweek,wilson,,,,
