canonical_model_id,model_name,overlap_games,mean_abs_difference,median_abs_difference,pct_exact_within_0_01,prediction_correlation
linecfbp_cfb_graphs,CFB Graphs,1288,0.07096273291925466,0.0,99.37888198757764,0.9971802304995229
linecfbp_sportsline,SportsLine,1288,0.11335403726708075,0.0,99.37888198757764,0.993733747964184
linecfbp_beta_rank,Beta_Rank,1287,0.08764568764568764,0.0,99.37839937839938,0.9962494811547531
linecfbp_cfb_geek,CFB Geek,1287,0.11717171717171718,0.0,99.37839937839938,0.9912791708218733
congrove,Congrove Computer Rankings,1287,0.10488733488733486,0.029999999999997584,24.397824397824397,0.9965112764730503
linecfbp_dratings,DRatings,1287,0.08391608391608392,0.0,99.37839937839938,0.9955402905194366
harville,David Harville,1287,0.14310023310023307,0.029999999999997584,24.864024864024863,0.9948033341105335
dokter_entropy,Dokter Entropy,1287,1.977016317016317,1.5499999999999998,3.807303807303807,0.9883632609044521
espn_fpi,ESPN FPI,1287,0.9918881118881119,0.8300000000000001,4.351204351204351,0.9948318718318268
linecfbp_jp,JP+,1287,0.08904428904428904,0.0,99.37839937839938,0.9930654202002227
linecfbp_kford,KFord,1287,0.09013209013209013,0.0,99.37839937839938,0.9944484354434988
massey,Massey Ratings,1287,1.2094871794871795,0.9599999999999991,4.428904428904429,0.997560195556355
piratings_bias,PI-Rate Bias,1287,0.02814296814296814,0.0,98.52369852369853,0.9997949485146401
piratings,Pi-Ratings,1287,0.0046697746697746696,0.0,99.76689976689977,0.9999742635478641
piratings_mean,Pi-Ratings Mean,1287,0.02597513597513597,0.0,98.67909867909867,0.9998241176318006
linecfbp_power_rank,Power Rank,1287,0.0717948717948718,0.0,99.37839937839938,0.9953891750928241
linecfbp_room44_bets,Room44 Bets,1287,0.11903651903651903,0.0,99.37839937839938,0.9918603242151266
linecfbp_sp,SP+,1287,0.11297591297591299,0.0,99.37839937839938,0.9937588688370094
sagarin_golden_mean,Sagarin Golden Mean,1287,1.3803885003885006,0.9100000000000037,6.138306138306138,0.9872237877745657
sagarin_predictor,Sagarin Predictor,1287,1.143908313908314,0.7599999999999998,6.6045066045066045,0.9905595499560074
sagarin,Sagarin Ratings,1287,0.8584071484071484,0.6199999999999992,7.226107226107226,0.9962625188291102
sagarin_recent,Sagarin Recent,1287,1.8236752136752135,0.9199999999999999,7.770007770007769,0.975926056964423
teamrankings,TeamRankings.com,1287,0.3092540792540793,0.20000000000000018,10.256410256410255,0.9996572879428905
linecfbp_wilson_ratings,Wilson Ratings,1287,0.07754467754467755,0.0,99.37839937839938,0.9954376569787426
keeper,Keeper,1286,0.02826594090202173,0.010000000000000009,49.53343701399689,0.9998994455589029
moore_ratings,Moore Power Ratings,1286,0.23001555209953348,0.16999999999999815,5.05443234836703,0.9994418872969797
linecfbp_tshoe_index,TShoe Index,1285,0.07782101167315175,0.0,99.37743190661479,0.9964333105293269
linecfbp_professor_sides,Professor Sides,1283,0.10257209664848012,0.0,99.37646141855028,0.9946708893316383
linecfbp_john_harris,John Harris,879,0.08395904436860067,0.0,99.54493742889647,0.9945547467383189
linecfbp_cfb_victory,CFB Victory,878,0.04328018223234624,0.0,99.54441913439635,0.9984849945285829
linecfbp_matt_grissom,Matt Grissom,878,0.09430523917995444,0.0,99.54441913439635,0.9922915294066982
linecfbp_trent_sorensen,Trent Sorensen,878,0.08496583143507971,0.0,99.54441913439635,0.9911727355008381
linecfbp_oddstrader_ai,OddsTrader AI,851,0.10105757931844889,0.0,99.41245593419507,0.9948909745308187
linecfbp_cbcr2_power,CBCR2: Power,843,0.14377224199288258,0.0,99.16963226571768,0.9918211653652681
fei,FEI Projections,843,0.008232502965599063,0.0,91.81494661921708,0.9999977555132402
linecfbp_power_rank_free,Power Rank: Free,843,0.11981020166073547,0.0,99.16963226571768,0.9916920132729299
linecfbp_david_sasser,David Sasser,444,0.013063063063063063,0.0,99.77477477477478,0.9997810368127251
linecfbp_mcillece_sports,McIllece Sports,444,0.024324324324324326,0.0,99.77477477477478,0.999315714592517
linecfbp_pearatings,PEARatings,444,0.017117117117117116,0.0,99.77477477477478,0.9996194655809972
linecfbp_ryder_analytics,Ryder Analytics,444,0.014414414414414415,0.0,99.77477477477478,0.9995667102530916
linecfbp_sportsratings,SportsRatings,444,0.005405405405405405,0.0,99.77477477477478,0.999975889209682
linecfbp_blake_atkinson,Blake Atkinson,409,0.10904645476772615,0.0,99.02200488997555,0.9950821897806185
linecfbp_cbcr2_sam,CBCR2: Sam,409,0.1393643031784841,0.0,99.02200488997555,0.9938457815651667
