fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
1,wilson,3,3,Open,0.38268131396343674,0.9278261192049109,0.3527043891717269,0.9424859682636594,0.09157587169216103,1126,3
1,wilson,5,5,Open,0.2267516145687772,0.9808613388645482,0.19941420669041895,0.9994417387752066,0.13171019664762268,1423,5
1,wilson,8,8,Open,0.2297909634026638,0.9813070737900951,0.2271042980292336,0.987392025378759,0.038710513237105226,1425,8
1,wilson,10,10,Open,0.2297909634026638,0.9813070737900951,0.2241428556414415,0.9897779190861968,0.06417297088075197,1425,10
1,wilson,15,15,Open,0.2297909634026638,0.9813070737900951,0.22300242620453473,0.993231570778321,0.07399642876242624,1425,15
1,wilson,20,20,Open,0.2297909634026638,0.9813070737900951,0.22450036990641017,0.9891134174788125,0.052789227098624325,1425,20
1,wilson,25,25,Open,0.2297909634026638,0.9813070737900951,0.2224053793638051,0.9919189894463709,0.07939401350127334,1425,25
1,wilson,35,35,Open,0.2297909634026638,0.9813070737900951,0.22220217089087932,0.9933537869030302,0.10874057322676364,1425,35
1,wilson,999,All,Open,0.2297909634026638,0.9813070737900951,0.22598190070156124,0.98833007781708,0.08728608408259242,1425,60
1,mae,3,3,Open,0.23704517502491507,0.9815740372449231,0.2572197865110975,0.9885464385412521,0.2849159896342436,1424,3
1,mae,5,5,Open,0.2297909634026638,0.9813070737900951,0.24982294798999136,0.9806890269405748,0.2810273920895489,1425,5
1,mae,8,8,Open,0.2297909634026638,0.9813070737900951,0.25067688944841,0.9855667214125912,0.3202633300507295,1425,8
1,mae,10,10,Open,0.2297909634026638,0.9813070737900951,0.2606671733119574,0.9845719061050036,0.3220957371377856,1425,10
1,mae,15,15,Open,0.2297909634026638,0.9813070737900951,0.2596326247540376,0.9856885841871275,0.31635954446502557,1425,15
1,mae,20,20,Open,0.2297909634026638,0.9813070737900951,0.2515357651769258,0.9899558598415976,0.2861126257325201,1425,20
1,mae,25,25,Open,0.2297909634026638,0.9813070737900951,0.24986116949164563,0.992497748313764,0.26400755441628626,1425,25
1,mae,35,35,Open,0.2297909634026638,0.9813070737900951,0.23722935590969152,0.991930766654857,0.206381083681457,1425,35
1,mae,999,All,Open,0.2297909634026638,0.9813070737900951,0.22598190070156124,0.9883300778170803,0.08728608408259217,1425,60
1,incremental,3,3,Open,0.07593369727436933,0.9939303265964228,0.03752732870664304,1.0049870713120599,0.4912440011254604,931,3
1,incremental,5,5,Open,0.2297909634026638,0.9813070737900951,0.24865377332979324,0.9844390786119264,0.42007550392222803,1425,5
1,incremental,8,8,Open,0.2297909634026638,0.9813070737900951,0.255868404044158,0.9768893899195334,0.3577699935527917,1425,8
1,incremental,10,10,Open,0.2297909634026638,0.9813070737900951,0.2455969474555613,0.9672307526810509,0.3750383300023926,1425,10
1,incremental,15,15,Open,0.2297909634026638,0.9813070737900951,0.22518238807181087,0.9881198058378666,0.37349416715909756,1425,15
1,incremental,20,20,Open,0.2297909634026638,0.9813070737900951,0.22039343322904398,0.995722209980178,0.3758240406114072,1425,20
1,incremental,25,25,Open,0.2297909634026638,0.9813070737900951,0.2289657497989106,0.9891678767276191,0.34174745344587415,1425,25
1,incremental,35,35,Open,0.2297909634026638,0.9813070737900951,0.22205328241698463,0.9913196650314946,0.2545239987586798,1425,35
1,incremental,999,All,Open,0.2297909634026638,0.9813070737900951,0.225981900701561,0.9883300778170803,0.08728608408259228,1425,60
1,wilson,3,3,Midweek,0.1370068931488295,0.9630302681180772,0.13693792162537702,0.9629555820813794,-0.0018203708786906601,1425,3
1,wilson,5,5,Midweek,0.1370068931488295,0.9630302681180772,0.13765753993450913,0.9607623034666181,-0.038641241373825824,1425,5
1,wilson,8,8,Midweek,0.1370068931488295,0.9630302681180772,0.1375352972591131,0.9622611204901205,-0.011996790528203488,1425,8
