model_a,model_b,model_a_name,model_b_name,n_common,meets_min_common,prediction_correlation,edge_correlation,error_correlation,same_side_rate,mean_absolute_prediction_difference,mean_absolute_edge_difference,a_lower_error_rate,b_lower_error_rate,a_only_ats_correct,b_only_ats_correct
linecfbp_beta_rank,linecfbp_pearatings,Beta_Rank,PEARatings,550,True,0.920415009656414,0.37528421638014364,0.9274480621061086,0.6388888888888888,4.702545454545454,4.702545454545454,0.43462246777163904,0.565377532228361,95,103
linecfbp_cfbwe_average,sagarin,CFBWE: Average,Sagarin Ratings,516,True,0.9182887685033954,0.3750817464121739,0.9496720475642415,0.6089494163424124,3.8819961240310077,3.934670542635659,0.5223300970873787,0.47766990291262135,101,97
linept_pig,teamrankings,Pigskin Index,TeamRankings.com,3443,True,0.9557747123623624,0.3746211497698005,0.9590346000702262,0.6281891723708775,3.5587133313970374,3.5587133313970374,0.4736070381231672,0.5263929618768328,603,679
linecfbp_tshoe_index,sagarin_golden_mean,TShoe Index,Sagarin Golden Mean,2127,True,0.9330404520393504,0.37418013799403427,0.9474500206342386,0.6298984034833092,4.027649271274095,4.097287259050305,0.4938737040527804,0.5061262959472196,395,414
linecfbp_sp,linecfbp_sportsline,SP+,SportsLine,1611,True,0.9160399062913327,0.3741073673117179,0.9274311749401444,0.6171027440970006,4.764804469273743,4.764804469273743,0.5337922403003754,0.4662077596996245,327,281
espn_fpi,linept_round,ESPN FPI,lineround,2105,True,0.8776290078399205,0.37387617754491387,0.9188489527911702,0.63330078125,5.1576627078384805,5.1576627078384805,0.5594671741198858,0.44053282588011416,390,372
linecfbp_jp,linecfbp_ryder_analytics,JP+,Ryder Analytics,550,True,0.7858817955297707,0.3738635510235286,0.8879860572236986,0.6136783733826248,5.947636363636363,5.947636363636363,0.5766423357664233,0.4233576642335766,111,95
harville,linecfbp_dratings,David Harville,DRatings,2638,True,0.9351385878530025,0.37369125258968466,0.9560367734984788,0.6209553158705701,3.6269636087945414,3.698009855951478,0.489749430523918,0.510250569476082,502,514
linept_pig,linept_pugh,Pigskin Index,Pugh Ratings,3436,True,0.9416013717665028,0.373439264384235,0.942485476343976,0.6316436251920123,4.296434807916182,4.296434807916182,0.514410480349345,0.485589519650655,610,657
linecfbp_pearatings,linecfbp_tshoe_index,PEARatings,TShoe Index,548,True,0.9482689301180373,0.3732664489447829,0.9546582028531583,0.6628352490421456,3.3344890510948906,3.3344890510948906,0.5167910447761194,0.4832089552238806,101,81
linecfbp_cfb_geek,linept_fox,CFB Geek,linefox,1024,True,0.9350584599170234,0.3730142393112207,0.9388605994413302,0.6531027466937945,4.34349609375,4.4198828125,0.503921568627451,0.49607843137254903,186,165
linept_payne,linept_wayward,linepayne,Waywardtrends,787,True,0.714806697834607,0.37288285222712214,0.8385944151286502,0.6111817026683609,8.296073697585769,8.296073697585769,0.3926302414231258,0.6073697585768743,143,156
linecfbp_si_composite,sagarin,SI Composite,Sagarin Ratings,505,True,0.9432934573828565,0.372727859104028,0.960878273349222,0.6427145708582834,3.5609504950495046,3.5523168316831684,0.5099206349206349,0.49007936507936506,94,88
linept_big200,linept_dunk,Big 200,Dunkel Index,1387,True,0.8864281794070589,0.3723842688372786,0.8960543934461042,0.6293352601156069,5.823150684931507,5.823150684931507,0.5043290043290043,0.49567099567099565,279,221
espn_fpi,linept_kam,ESPN FPI,Edward Kambour,3894,True,0.9475251133628396,0.37195522977906004,0.9520267179949538,0.6350759721864537,3.793261427837699,3.7928762198253723,0.5208226221079691,0.47917737789203085,716,681
linept_curry,linept_fluker,Daniel Curry Index,Slate Fluker,694,True,0.9425680752031591,0.37194972068521487,0.9469195565445248,0.6646971935007385,3.6652017291066286,3.6652017291066286,0.4596541786743516,0.5403458213256485,115,114
linept_log,linept_round,Logistic Regression,lineround,1120,True,0.6659399099469202,0.3717201710426451,0.8502374935086252,0.6095764272559853,8.114071428571428,8.114071428571426,0.41160714285714284,0.5883928571428572,214,219
linept_fluker,linept_pig,Slate Fluker,Pigskin Index,339,True,0.9689693906394232,0.371705197876846,0.9631564182568078,0.6329113924050633,3.348790560471977,3.348790560471977,0.5654761904761905,0.43452380952380953,72,49
linecfbp_professor_sides,linept_super,Professor Sides,linesuper,507,True,0.9491450897720023,0.37163338528185197,0.8572770390214208,0.6317907444668008,7.642682445759369,7.683550295857987,0.567193675889328,0.43280632411067194,81,107
linecfbp_si_composite,massey,SI Composite,Massey Ratings,505,True,0.9163428842942359,0.37142778979669294,0.939748111638921,0.6533864541832669,4.437861386138613,4.386178217821782,0.5247524752475248,0.4752475247524752,87,91
linecfbp_wilson_ratings,linept_donchess,Wilson Ratings,Donchess Inference,2591,True,0.9236250561729228,0.3712364688504703,0.9507182372346438,0.6160287081339713,3.8903396372057117,4.000412967966036,0.48082942097026604,0.519170579029734,503,500
linecfbp_cfb_geek,linecfbp_wilson_ratings,CFB Geek,Wilson Ratings,2120,True,0.9348980419158396,0.37108294955327,0.9407631094670529,0.6195965417867435,4.200754716981132,4.200754716981132,0.504297994269341,0.49570200573065903,415,378
espn_fpi,linept_how,ESPN FPI,Howell,3894,True,0.890456880281243,0.37091622445405,0.926670374047168,0.6110370567848574,4.986527991782229,4.985885978428351,0.5408320493066255,0.4591679506933744,776,725
linecfbp_cfbwe_average,sagarin_predictor,CFBWE: Average,Sagarin Predictor,516,True,0.9081503867482192,0.37086461978622864,0.9451117145303429,0.599609375,4.047364341085271,4.105193798449613,0.5174418604651163,0.48255813953488375,97,104
linecfbp_david_sasser,linept_pfz,David Sasser,PerformanZ Ratings,503,True,0.875146467492431,0.37078274470647016,0.87947497812703,0.6325301204819277,5.802862823061631,5.844214711729623,0.5944333996023857,0.40556660039761433,90,87
espn_fpi,linecfbp_cfb_geek,ESPN FPI,CFB Geek,2122,True,0.948344523127034,0.3707078008926981,0.9534857100864002,0.6220322886989553,3.752931196983977,3.8313477851083886,0.5018885741265344,0.4981114258734655,388,416
espn_fpi,linept_argh,ESPN FPI,Argh Ratings,3135,True,0.9060304705146518,0.3707018609332224,0.9351102831646843,0.6205980066445183,4.572781499202552,4.57364274322169,0.5356116256786969,0.4643883743213031,626,550
harville,linept_clean,David Harville,Cleanup Hitter,3855,True,0.7727082545718487,0.37011663267535677,0.8836634533584864,0.6052210974960043,6.4863709468223085,6.4863709468223085,0.5660524266805087,0.4339475733194913,761,737
linept_dwig,sagarin_recent,DP Dwiggins,Sagarin Recent,3888,True,0.9052489862811994,0.3698595994092539,0.9129000040183571,0.6541633413141793,5.146530349794238,5.146530349794238,0.45468589083419153,0.5453141091658085,660,677
linecfbp_sportsline,piratings_mean,SportsLine,Pi-Ratings Mean,1613,True,0.9252672537021375,0.36912462118202044,0.9327664018616723,0.6213965406790519,4.619101053936764,4.727966522008679,0.47470331043098063,0.5252966895690193,321,302
linecfbp_cbcr2_power,linecfbp_jp,CBCR2: Power,JP+,1063,True,0.9040733372741985,0.36898972891312254,0.9154037470739603,0.5931232091690545,5.203386641580432,5.203386641580432,0.4843601895734597,0.5156398104265403,204,224
fei,linept_fluker,FEI Projections,Slate Fluker,694,True,0.9497761796188781,0.3686493395148774,0.9579003318197811,0.6611694152923538,3.074048991354467,3.074048991354467,0.4766081871345029,0.5233918128654971,111,123
