canonical_model_id,model_name,source_coverage,n_source_members,source_specific_model_ids,source_model_names,relationship,preferred_source,include_default,notes,first_season,last_season,seasons_active,source_records
linecfbp_ryder_analytics,Ryder Analytics,cfbpicker,1,linecfbp_ryder_analytics,Ryder Analytics,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2025,2025,1,550
linecfbp_si_composite,SI Composite,cfbpicker,1,linecfbp_si_composite,SI Composite,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2021,1,505
linecfbp_sp,SP+,cfbpicker,1,linecfbp_sp,SP+,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2025,5,2638
linecfbp_sv_bettor,SV Bettor,cfbpicker,1,linecfbp_sv_bettor,SV Bettor,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2021,1,507
sagarin_golden_mean,Sagarin Golden Mean,cfbpicker+predictiontracker,2,linecfbp_sagarin_golden | linept_saggm,Sagarin: Golden | Sagarin Golden Mean,same_model_different_snapshot,predictiontracker,True,Same Sagarin Golden Mean variant; source snapshots differ.,2021,2025,5,6534
sagarin_predictor,Sagarin Predictor,cfbpicker+predictiontracker,2,linecfbp_sagarin_predictor | linept_sagpred,Sagarin: Predictor | Sagarin Predictor,same_model_different_snapshot,predictiontracker,True,Same Sagarin Predictor variant; source snapshots differ.,2021,2025,5,6534
sagarin,Sagarin Ratings,cfbpicker+predictiontracker,2,linecfbp_sagarin | linept_sag,Sagarin | Sagarin Ratings,same_model_different_snapshot,predictiontracker,True,Same Sagarin base system; source snapshots differ modestly.,2021,2025,5,6534
sagarin_recent,Sagarin Recent,cfbpicker+predictiontracker,2,linecfbp_sagarin_recent | linept_sagr,Sagarin: Recent | Sagarin Recent,same_model_different_snapshot,predictiontracker,True,Same Sagarin Recent variant; source snapshots differ.,2021,2025,5,6534
linept_fluker,Slate Fluker,predictiontracker,1,linept_fluker,Slate Fluker,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2025,2025,1,694
linecfbp_sportsline,SportsLine,cfbpicker,1,linecfbp_sportsline,SportsLine,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2023,2025,3,1613
linecfbp_sportsratings,SportsRatings,cfbpicker,1,linecfbp_sportsratings,SportsRatings,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2025,2025,1,550
linept_kerns,Stephen Kerns,predictiontracker,1,linept_kerns,Stephen Kerns,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3896
