ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
incremental,8,8,Midweek,0 to 2,633,0.9798307944030692,0.6729857819905213,1.0
incremental,8,8,Midweek,2 to 4,351,2.865369556369557,0.51994301994302,0.5
incremental,8,8,Midweek,4 to 7,204,5.091786881419234,-1.3995098039215685,-0.75
incremental,8,8,Midweek,≥7,35,10.715217346938775,1.0857142857142856,-3.0
incremental,8,8,Open,≤-7,43,-8.573838593576966,-4.593023255813954,-6.5
incremental,8,8,Open,-7 to -4,149,-5.114531240012783,0.15771812080536912,0.0
incremental,8,8,Open,-4 to -2,330,-2.8780454184704185,-1.1090909090909091,-0.5
incremental,8,8,Open,-2 to 0,616,-0.9462267702535562,0.3068181818181818,0.0
incremental,8,8,Open,0 to 2,626,0.9264070249505552,0.5742811501597445,0.75
incremental,8,8,Open,2 to 4,362,2.893284661931071,-0.5,-0.5
incremental,8,8,Open,4 to 7,147,5.12269387755102,1.8673469387755102,0.5
incremental,8,8,Open,≥7,35,8.747007142857143,1.542857142857143,1.0
incremental,10,10,Close (PT Updated/final),≤-7,44,-8.471127525252525,3.8636363636363638,3.75
incremental,10,10,Close (PT Updated/final),-7 to -4,194,-5.141216228931435,-1.5798969072164948,0.0
incremental,10,10,Close (PT Updated/final),-4 to -2,368,-2.869819099378882,-0.45516304347826086,-1.0
incremental,10,10,Close (PT Updated/final),-2 to 0,594,-0.9224859708193042,-0.3207070707070707,-0.5
incremental,10,10,Close (PT Updated/final),0 to 2,641,0.9704297724289928,0.890795631825273,1.0
incremental,10,10,Close (PT Updated/final),2 to 4,355,2.898998300916611,-0.8929577464788733,-1.0
incremental,10,10,Close (PT Updated/final),4 to 7,194,5.081236786123385,0.16237113402061856,0.0
incremental,10,10,Close (PT Updated/final),≥7,36,8.417444444444444,0.05555555555555555,0.0
incremental,10,10,Midweek,≤-7,45,-8.450572839506172,1.5333333333333334,3.5
incremental,10,10,Midweek,-7 to -4,190,-5.195541144527986,-0.018421052631578946,0.5
incremental,10,10,Midweek,-4 to -2,355,-2.9218490610328636,-0.8126760563380282,-1.5
incremental,10,10,Midweek,-2 to 0,620,-0.9758444764464924,-0.6209677419354839,-0.75
incremental,10,10,Midweek,0 to 2,610,0.9542024590163934,0.7745901639344263,1.0
incremental,10,10,Midweek,2 to 4,377,2.8577200959959583,0.09549071618037135,0.0
incremental,10,10,Midweek,4 to 7,193,5.062588658606794,-0.30569948186528495,-0.5
incremental,10,10,Midweek,≥7,36,10.373592592592594,-0.19444444444444445,-3.75
incremental,10,10,Open,≤-7,37,-8.358447232947235,-2.4594594594594597,-5.0
incremental,10,10,Open,-7 to -4,156,-5.101411833536834,-1.2628205128205128,-1.0
incremental,10,10,Open,-4 to -2,370,-2.844859974259975,-1.3391891891891892,-0.5
incremental,10,10,Open,-2 to 0,625,-0.9331104126984128,0.4768,0.5
incremental,10,10,Open,0 to 2,673,0.9639519210358736,0.237741456166419,0.0
incremental,10,10,Open,2 to 4,352,2.870301001082251,-0.6803977272727273,-0.75
incremental,10,10,Open,4 to 7,181,5.069813952468649,2.314917127071823,1.5
incremental,10,10,Open,≥7,32,8.96400892857143,0.3125,-0.25
incremental,15,15,Close (PT Updated/final),≤-7,34,-8.808431054239875,4.411764705882353,4.25
incremental,15,15,Close (PT Updated/final),-7 to -4,189,-5.066554925673973,0.4523809523809524,1.5
incremental,15,15,Close (PT Updated/final),-4 to -2,366,-2.871359394779476,-1.8360655737704918,-1.5
incremental,15,15,Close (PT Updated/final),-2 to 0,600,-0.955553607272357,-0.7725,-0.5
incremental,15,15,Close (PT Updated/final),0 to 2,637,0.9614953939745933,1.1342229199372056,1.0
incremental,15,15,Close (PT Updated/final),2 to 4,379,2.83730003674133,0.36675461741424803,0.0
incremental,15,15,Close (PT Updated/final),4 to 7,190,5.061497869674185,-0.5605263157894737,0.0
incremental,15,15,Close (PT Updated/final),≥7,31,9.156390681003584,-2.0,-3.5
incremental,15,15,Midweek,≤-7,28,-8.311788973922903,2.017857142857143,3.75
incremental,15,15,Midweek,-7 to -4,172,-5.134414054291962,0.45930232558139533,0.5
incremental,15,15,Midweek,-4 to -2,359,-2.930498614044575,-1.8635097493036212,-2.0
