fold,architecture,architecture_name,line_reference,threshold,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,oos_start,oos_end
1,A,All-model consensus,Open,0.0,260,131,129,1,0.5038461538461538,0.44345897873762985,0.5641213270215831,-9.909090909090907,-0.0381118881118881,-10.900000000000006,-0.038111888111888134,2022 W14,2023 W4
1,A,All-model consensus,Open,0.25,176,92,84,1,0.5227272727272727,0.4492386643573746,0.595244925646273,-0.36363636363635976,-0.0020661157024793168,-0.4000000000000057,-0.002066115702479368,2022 W14,2023 W4
1,A,All-model consensus,Open,0.5,103,50,53,0,0.4854368932038835,0.3911889229019198,0.580732126576935,-7.545454545454547,-0.07325684024713153,-8.300000000000004,-0.07325684024713154,2022 W14,2023 W4
1,A,All-model consensus,Open,0.75,59,34,25,0,0.576271186440678,0.4493425547283663,0.6938746771689757,5.9090909090909065,0.10015408320493062,6.4999999999999964,0.1001540832049306,2022 W14,2023 W4
1,A,All-model consensus,Open,1.0,26,17,9,0,0.6538461538461539,0.46220229009632996,0.8058798502714787,6.454545454545453,0.2482517482517482,7.1,0.24825174825174823,2022 W14,2023 W4
1,A,All-model consensus,Open,1.25,13,9,4,0,0.6923076923076923,0.4236888781333764,0.8731950283838191,4.181818181818182,0.32167832167832167,4.6,0.3216783216783216,2022 W14,2023 W4
1,A,All-model consensus,Open,1.5,3,2,1,0,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.8181818181818181,0.2727272727272727,0.8999999999999999,0.27272727272727265,2022 W14,2023 W4
1,A,All-model consensus,Open,1.75,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,-1.1,-1.0,2022 W14,2023 W4
1,A,All-model consensus,Open,2.0,0,0,0,0,,,,0.0,,0.0,,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,0.0,260,136,124,1,0.5230769230769231,0.46247134165703446,0.5830104928982442,-0.36363636363637397,-0.0013986013986014383,-0.4000000000000057,-0.0013986013986014185,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,0.25,184,94,90,1,0.5108695652173914,0.4391598460246995,0.5821346915005345,-4.545454545454547,-0.02470355731225297,-5.000000000000014,-0.024703557312253033,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,0.5,107,56,51,0,0.5233644859813084,0.4295689431021738,0.6155404743006785,-0.09090909090909349,-0.0008496176720476028,-0.10000000000000142,-0.0008496176720475906,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,0.75,56,33,23,0,0.5892857142857143,0.45877362113703657,0.7083342102043715,7.0,0.125,7.699999999999999,0.12499999999999997,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,1.0,33,21,12,0,0.6363636363636364,0.46615872621534094,0.7781303383204013,7.09090909090909,0.21487603305785122,7.799999999999999,0.2148760330578512,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,1.25,16,12,4,0,0.75,0.5050123107060135,0.8981809801576265,6.909090909090908,0.43181818181818177,7.6,0.43181818181818177,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,1.5,9,5,4,0,0.5555555555555556,0.2666473457440297,0.811224570528086,0.545454545454545,0.06060606060606055,0.5999999999999996,0.060606060606060566,2022 W14,2023 W4
1,B,Prior-ranked Top-N consensus,Open,1.75,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,-0.10000000000000009,-0.04545454545454549,2022 W14,2023 W4
