fold,season,week,game,selected_side,forecast_mean,forecast_sd,market_margin,actual_margin,edge,signal,cover_margin,result
1,2022,14,Auburn @ Alabama,Alabama,-19.563644618055555,2.522360443006277,-22.0,-22.0,2.436355381944445,0.965902945671267,0.0,P
1,2022,14,East Carolina @ Temple,East Carolina,-10.937816666666667,1.2277129054545668,-9.5,-3.0,-1.4378166666666665,1.1711342776300846,-6.5,L
1,2022,15,Toledo @ Ohio,Toledo,-0.1902693339646465,3.3279963768220826,3.0,10.0,-3.1902693339646464,0.9586156271633468,-7.0,L
1,2022,19,Ohio St. @ Georgia,Georgia,-4.2516625,1.5740264503423425,-6.5,-1.0,2.2483375,1.428398804550583,5.5,W
1,2022,19,Utah @ Penn St.,Utah,-0.7570916666666667,1.2308269487221253,2.0,-14.0,-2.7570916666666667,2.240031930994968,16.0,W
1,2022,19,Eastern Mich. @ San Jose St.,Eastern Mich.,2.710045833333333,1.530281915300925,4.0,-14.0,-1.289954166666667,0.8429519775204307,18.0,W
1,2022,19,Troy St. @ Texas-San Antonio,Troy St.,1.3736000000000002,1.0637792577688565,2.5,-6.0,-1.1263999999999998,1.0588662937106732,8.5,W
1,2023,2,California @ North Texas,North Texas,-2.3739097222222223,2.302369719108513,-6.0,-37.0,3.6260902777777777,1.5749383114636406,-31.0,L
1,2023,2,Nebraska @ Minnesota,Nebraska,-11.52860763888889,3.1765249868622063,-6.5,-3.0,-5.028607638888889,1.583053072047824,-3.5,L
1,2023,3,Nebraska @ Colorado,Colorado,4.595608024691357,4.569406496699721,-2.5,-22.0,7.095608024691357,1.5528511262493714,-19.5,L
1,2023,4,Massachusetts @ Eastern Mich.,Massachusetts,-13.361555555555555,4.770862788961041,-7.0,-2.0,-6.3615555555555545,1.3334182593293407,-5.0,L
1,2023,4,Oklahoma @ Tulsa,Tulsa,-24.008524691358023,4.2769984063382305,-28.5,-49.0,4.491475308641977,1.0501465939257555,-20.5,L
2,2023,5,Duke @ Connecticut,Duke,-25.318708796296296,2.986812142136758,-22.0,-34.0,-3.3187087962962956,1.1111206993828877,12.0,W
2,2023,5,NC St. @ Virginia,NC St.,-10.8186705026455,2.108582583542794,-7.5,-3.0,-3.3186705026454995,1.5738868985010503,-4.5,L
2,2023,6,Cincinnati @ BYU,Cincinnati,-1.4429095899470898,2.929511496578121,1.0,-8.0,-2.4429095899470896,0.8338965704011002,9.0,W
2,2023,6,Utah @ Oregon St.,Oregon St.,0.8438964285714284,2.171666757522068,-4.0,-14.0,4.843896428571428,2.2304971109372453,-10.0,L
2,2023,7,Central Florida @ Kansas,Central Florida,-0.9489141534391534,3.890870556099966,2.5,-29.0,-3.448914153439153,0.8864119491284721,31.5,W
2,2023,8,West Va. @ Houston,Houston,6.769219708994709,3.1235714600865068,3.0,-2.0,3.769219708994709,1.2067019298768726,-5.0,L
2,2023,9,Hawaii @ New Mexico,New Mexico,0.01909259259259265,1.509429924342981,-2.5,21.0,2.5190925925925924,1.6689033071138388,23.5,W
