game_key,season,week,away,home,canonical_model_id,model_name,picker,prediction_home_margin_existing,prediction_home_margin_cfbpicker,difference_cfb_minus_existing,source_table
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_beta_rank,Beta_Rank,Beta_Rank,24.7,24.7,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_blake_atkinson,Blake Atkinson,Blake Atkinson,8.6,8.6,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_cbcr2_power,CBCR2: Power,CBCR2: Power,7.4,7.4,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_cbcr2_sam,CBCR2: Sam,CBCR2: Sam,12.2,12.2,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_cfb_geek,CFB Geek,CFB Geek,6.7,6.7,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_cfb_graphs,CFB Graphs,CFB Graphs,15.8,15.8,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,congrove,Congrove Computer Rankings,Congrove,8.73,8.7,-0.030000000000001137,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_dratings,DRatings,DRatings,13.6,13.6,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,dokter_entropy,Dokter Entropy,Dokter Entropy,15.98,13.8,-2.1799999999999997,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,espn_fpi,ESPN FPI,ESPN FPI,5.1,3.3,-1.7999999999999998,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,fei,FEI Projections,FEI,7.3,7.3,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,harville,David Harville,Harville,9.12,9.1,-0.019999999999999574,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_jp,JP+,JP+,6.8,6.8,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_kford,KFord,KFord,9.2,9.2,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,keeper,Keeper,Keeper,15.1,15.1,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,massey,Massey Ratings,Massey,13.17,11.1,-2.0700000000000003,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,moore_ratings,Moore Power Ratings,Moore Ratings,13.92,11.2,-2.7200000000000006,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_oddstrader_ai,OddsTrader AI,OddsTrader AI,29.0,29.0,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,piratings,Pi-Ratings,PiRate,15.6,15.6,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,piratings_bias,PI-Rate Bias,PiRate: Bias,16.8,16.8,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,piratings_mean,Pi-Ratings Mean,PiRate: Mean,17.0,17.0,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_power_rank,Power Rank,Power Rank,11.0,11.0,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_power_rank_free,Power Rank: Free,Power Rank: Free,3.8,3.8,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_professor_sides,Professor Sides,Professor Sides,9.4,9.4,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_room44_bets,Room44 Bets,Room44 Bets,14.3,14.3,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_sp,SP+,SP+,7.1,7.1,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,sagarin,Sagarin Ratings,Sagarin,17.72,17.9,0.17999999999999972,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,sagarin_golden_mean,Sagarin Golden Mean,Sagarin: Golden,17.72,17.9,0.17999999999999972,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,sagarin_predictor,Sagarin Predictor,Sagarin: Predictor,17.72,17.9,0.17999999999999972,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,sagarin_recent,Sagarin Recent,Sagarin: Recent,17.72,17.9,0.17999999999999972,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_sportsline,SportsLine,SportsLine,15.0,15.0,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_tshoe_index,TShoe Index,TShoe Index,13.2,13.2,0.0,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,teamrankings,TeamRankings.com,TeamRankings,10.4,12.8,2.4000000000000004,tableau_embedding_api_tooltip
2023_w1_newmexicostate_umass,2023,1,Massachusetts,New Mexico State,linecfbp_wilson_ratings,Wilson Ratings,Wilson Ratings,10.1,10.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_beta_rank,Beta_Rank,Beta_Rank,7.4,7.4,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_blake_atkinson,Blake Atkinson,Blake Atkinson,27.1,27.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_cbcr2_power,CBCR2: Power,CBCR2: Power,23.1,23.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_cbcr2_sam,CBCR2: Sam,CBCR2: Sam,13.4,13.4,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_cfb_geek,CFB Geek,CFB Geek,32.1,32.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_cfb_graphs,CFB Graphs,CFB Graphs,20.0,20.0,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,congrove,Congrove Computer Rankings,Congrove,26.16,26.2,0.03999999999999915,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_dratings,DRatings,DRatings,17.1,17.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,dokter_entropy,Dokter Entropy,Dokter Entropy,18.02,23.4,5.379999999999999,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,espn_fpi,ESPN FPI,ESPN FPI,28.46,27.7,-0.7600000000000016,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,fei,FEI Projections,FEI,13.5,13.5,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,harville,David Harville,Harville,17.81,17.8,-0.00999999999999801,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_jp,JP+,JP+,10.8,10.8,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_kford,KFord,KFord,22.0,22.0,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,keeper,Keeper,Keeper,8.6,8.6,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,massey,Massey Ratings,Massey,17.88,14.9,-2.9799999999999986,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,moore_ratings,Moore Power Ratings,Moore Ratings,15.11,15.1,-0.009999999999999787,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_oddstrader_ai,OddsTrader AI,OddsTrader AI,12.0,12.0,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,piratings,Pi-Ratings,PiRate,18.7,18.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,piratings_bias,PI-Rate Bias,PiRate: Bias,18.8,18.8,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,piratings_mean,Pi-Ratings Mean,PiRate: Mean,21.7,21.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_power_rank,Power Rank,Power Rank,22.3,22.3,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_power_rank_free,Power Rank: Free,Power Rank: Free,23.9,23.9,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_professor_sides,Professor Sides,Professor Sides,27.6,27.6,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_room44_bets,Room44 Bets,Room44 Bets,17.6,17.6,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_sp,SP+,SP+,32.2,32.2,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,sagarin,Sagarin Ratings,Sagarin,20.7,20.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,sagarin_golden_mean,Sagarin Golden Mean,Sagarin: Golden,20.7,20.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,sagarin_predictor,Sagarin Predictor,Sagarin: Predictor,20.7,20.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,sagarin_recent,Sagarin Recent,Sagarin: Recent,20.7,20.7,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_sportsline,SportsLine,SportsLine,19.0,19.0,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_tshoe_index,TShoe Index,TShoe Index,26.1,26.1,0.0,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,teamrankings,TeamRankings.com,TeamRankings,20.5,19.2,-1.3000000000000007,tableau_embedding_api_tooltip
2023_w1_navy_notredame,2023,1,Navy,Notre Dame,linecfbp_wilson_ratings,Wilson Ratings,Wilson Ratings,16.8,16.8,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_beta_rank,Beta_Rank,Beta_Rank,-7.1,-7.1,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_blake_atkinson,Blake Atkinson,Blake Atkinson,6.1,6.1,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_cbcr2_power,CBCR2: Power,CBCR2: Power,4.3,4.3,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_cbcr2_sam,CBCR2: Sam,CBCR2: Sam,6.5,6.5,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_cfb_geek,CFB Geek,CFB Geek,7.0,7.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_cfb_graphs,CFB Graphs,CFB Graphs,-1.9,-1.9,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,congrove,Congrove Computer Rankings,Congrove,3.52,3.5,-0.020000000000000018,tableau_embedding_api_tooltip
