spread_bucket,matched_bets,graded_bets,live_win_pct,raw_model_agreement_pct,market_anchored_agreement_pct,mean_abs_model_edge
≤3.5,35,35,0.6,0.6857142857142857,0.6571428571428571,1.9811750566893425
4–7,27,27,0.5925925925925926,0.6666666666666666,0.4444444444444444,1.589705467372134
7.5–10,17,17,0.7058823529411765,0.7647058823529411,0.47058823529411764,2.333280112044818
10.5–14,17,17,0.7058823529411765,0.8235294117647058,0.5882352941176471,2.5834565826330533
14.5–17,3,3,0.3333333333333333,1.0,1.0,2.671957671957672
17.5–21,3,3,0.6666666666666666,1.0,0.6666666666666666,2.3218518518518536
21.5–28,4,4,0.75,0.5,0.5,2.7362857142857147
