source_row,season,week,away,home,picker,candidate_matches,reason
707,2023,2,Kent State,UCF,SportsLine,0,no_match
708,2023,2,Kent State,UCF,TShoe Index,0,no_match
709,2023,2,Kent State,UCF,TeamRankings,0,no_match
710,2023,2,Kent State,UCF,Wilson Ratings,0,no_match
813,2023,2,Miami OH,Miami,Beta_Rank,0,no_match
814,2023,2,Miami OH,Miami,Blake Atkinson,0,no_match
815,2023,2,Miami OH,Miami,CBCR2: Power,0,no_match
816,2023,2,Miami OH,Miami,CBCR2: Sam,0,no_match
817,2023,2,Miami OH,Miami,CFB Geek,0,no_match
818,2023,2,Miami OH,Miami,CFB Graphs,0,no_match
819,2023,2,Miami OH,Miami,Congrove,0,no_match
820,2023,2,Miami OH,Miami,DRatings,0,no_match
821,2023,2,Miami OH,Miami,Dokter Entropy,0,no_match
822,2023,2,Miami OH,Miami,ESPN FPI,0,no_match
823,2023,2,Miami OH,Miami,FEI,0,no_match
824,2023,2,Miami OH,Miami,Harville,0,no_match
825,2023,2,Miami OH,Miami,JP+,0,no_match
826,2023,2,Miami OH,Miami,KFord,0,no_match
827,2023,2,Miami OH,Miami,Keeper,0,no_match
828,2023,2,Miami OH,Miami,Massey,0,no_match
829,2023,2,Miami OH,Miami,Moore Ratings,0,no_match
830,2023,2,Miami OH,Miami,OddsTrader AI,0,no_match
831,2023,2,Miami OH,Miami,PiRate,0,no_match
832,2023,2,Miami OH,Miami,PiRate: Bias,0,no_match
833,2023,2,Miami OH,Miami,PiRate: Mean,0,no_match
834,2023,2,Miami OH,Miami,Power Rank,0,no_match
835,2023,2,Miami OH,Miami,Power Rank: Free,0,no_match
836,2023,2,Miami OH,Miami,Professor Sides,0,no_match
837,2023,2,Miami OH,Miami,Room44 Bets,0,no_match
838,2023,2,Miami OH,Miami,SP+,0,no_match
839,2023,2,Miami OH,Miami,Sagarin,0,no_match
840,2023,2,Miami OH,Miami,Sagarin: Golden,0,no_match
841,2023,2,Miami OH,Miami,Sagarin: Predictor,0,no_match
842,2023,2,Miami OH,Miami,Sagarin: Recent,0,no_match
843,2023,2,Miami OH,Miami,SportsLine,0,no_match
844,2023,2,Miami OH,Miami,TShoe Index,0,no_match
845,2023,2,Miami OH,Miami,TeamRankings,0,no_match
846,2023,2,Miami OH,Miami,Wilson Ratings,0,no_match
