lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
-14.0,-10.0,Louisiana-Lafayette,Charlotte,-13.5,,,-10.0,-10.5,-11.26,-14.734,-9.83,-24.045,-3.7,-9.2,-11.1,-11.1,-7.4,-12.46,-9.1,-1.5,,-15.0,-6.5,-7.35,-7.59,-1.3,-13.79,-12.3,-24,-7.232401873,-9.34,,,-13.59374939,0,,-14.98,-7.31,-15.54982036,-16.56,-15.886,,-1.3,-8.8,-5.2,,-8.001,-15,-15.31,-3.172,-5.79,-16.67,,-10.5777361,5.4372948864,-10.165,0.4901151585,0.2649510964,-10.0
-6.5,-6.5,Kansas St.,Cincinnati,-0.5,,,-6.5,-6.75,0.24,1.032,-3.52,-0.781,-2.3,-3.1,-4.8,-4.6,-9.0,-3.07,-5.78,1.0,,-6.7,-1.11,-0.56,-0.94,-4.46,-3.81,-6.62,-13,-2.980848844,-2.56,,,-3.050353517,0,,-2.87,-2.4,-8.074429069,-5.0,-3.79,,2.0,-7.9,-6.0,,-4.9,-3,-2.27,-9.532,-8.98,-6.13,,-4.041227143,3.2952582273,-3.655,0.5427340615,0.4019446475,-6.0
-2.5,-2.5,Liberty,Coastal Carolina,0.5,,,-2.5,9.25,1.68,-2.828,-0.85,-4.757,0.9,1.3,-0.5,-1.3,-4.3,7.17,0.73,3.5,,-7.0,2.09,2.65,0.36,8.38,-4.75,0.26,-5,-1.919941439,-2.64,,,-7.297382731,0,,1.36,-4.04,6.516849307,3.66,-7.8759,,-7.3,0.6,-7.4,,-1.4,-5,-1.4,-2.612,-2.33,-0.01,,-0.700088812,4.322820799,-0.675,0.5310802961,0.4830916559,-2.5
1.5,3.5,Mississippi,Florida,-8.5,,,3.5,-5.1,-5.63,-3.198,-0.3,-4.178,-4.4,-0.6,-0.9,0.1,-4.1,3.35,-4.24,-9.0,,0.8,4.15,4.21,3.04,6.55,-4.3,4.93,3,1.0955356711,-4.47,,,3.2886328102,0,,5.24,0.16,-2.593731178,7.48,-3.1603,,0.6,2.9,0.4,,-4.872,12,0.11,-6.333,-1.41,-3.07,,-0.761864808,4.1560504875,-0.45,0.4266530701,0.4815528179,3.0
13.0,13.5,Rice,Fresno St.,14.5,,,13.5,17.34,20.78,16.263,14.32,16.828,13.0,18.8,18.6,20.8,17.1,0.47,18.97,23.5,,15.0,12.88,14.52,14.44,0.5,21.88,11.79,13,17.278678879,16.64,,,20.095605735,0,,15.82,10.57,16.17089207,7.82,20.7388,,19.2,18.5,17.4,,19.2815,13,18.73,14.198,13.85,15.63,,15.715907281,4.87914593,16.4515,0.5380617141,0.8271356167,14.0
13.5,14.0,Oklahoma,Georgia,14.5,,,14.0,8.15,9.63,7.031,7.87,11.816,3.6,10.1,10.3,11.7,16.0,-2.68,13.24,7.5,,8.2,7.09,9.19,9.96,-0.15,15.64,7.8,5,13.763971207,7.72,,,16.193579651,0,,7.86,19.24,15.801120917,1.56,11.8885,,7.7,11.0,18.5,,6.286,13,17.29,15.179,15.76,3.73,,10.025241362,5.1356722434,9.795,0.4321169949,0.7253208015,13.5
-19.0,-18.5,Houston,Georgia Southern,-4.0,,,-18.5,-14.15,-14.77,-18.434,-16.56,-12.883,-4.7,-21.7,-19.7,-22.2,-13.9,-10.97,-17.2,-5.0,,-16.0,-15.44,-15.61,-16.64,-13.33,-7.54,-22.14,-24,-16.90611839,-15.87,,,-16.0741222,0,,-8.99,-8.75,-11.12248719,-15.85,-14.2999,,-22.6,-21.6,-16.1,,-19.95,-22,-12.92,-14.781,-12.68,-22.79,,-15.2144902,5.1335113835,-15.73,0.5561991855,0.1817629133,-18.0
9.0,10.5,Northern Ill.,Georgia St.,13.0,,,10.5,6.48,10.1,13.254,7.25,18.999,8.4,6.2,5.9,6.0,7.1,14.17,6.3,8.0,,1.9,10.58,11.02,8.93,18.32,-4.12,13.38,17,11.321170619,4.57,,,3.3995554525,0,,37.64,14.35,19.119373917,10.78,-0.2136,,17.6,18.6,8.0,,0.8785,30,8.2,5.194,5.9,6.45,,9.9987368418,7.2250211264,8.3,0.4915965341,0.7161364708,10.5
22.5,21.0,Northwestern,Indiana,19.5,,,21.0,17.08,17.52,11.749,18.99,22.753,7.8,23.6,23.0,24.3,21.9,6.46,25.33,23.0,,22.5,14.89,18.8,20.61,-0.96,26.54,9.43,22,18.298385611,28.45,,,17.813830504,0,,4.37,24.83,20.957476083,6.98,26.6022,,15.2,22.4,25.3,,19.0645,3,22.42,28.349,17.34,17.67,,18.758878742,6.9462499897,20.055,0.4623500567,0.8597072422,21.0
-11.0,-8.0,Utah,Iowa St.,-0.5,,,-8.0,-10.46,-9.55,-14.738,-6.39,-4.796,-1.3,-12.0,-12.1,-12.8,-11.5,-0.56,-6.31,-7.0,,-13.7,-3.22,-3.29,-5.18,3.73,-9.53,-8.83,-14,-9.754667593,-10.89,,,-11.12613342,0,,-11.16,-9.2,-5.898638126,-6.28,-3.4978,,-6.6,-11.3,-12.0,,-6.3315,-11,-9.72,-12.769,-5.13,-12.93,,-8.121361556,4.3708206926,-9.365,0.4979030735,0.3115599383,-8.0
