Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u
14-Oct,Western Kentucky -9.5,-110,1.91,L,-1.00
15-Oct,Jacksonville State +3,-110,1.91,W,0.91
16-Oct,UTEP -3,-110,1.91,W,0.91
16-Oct,ECU -16.5,-110,1.91,L,-1.00
17-Oct,Miami -10,-128,1.78,L,-1.00
18-Oct,Cal -7,-121,1.83,L,-1.00
18-Oct,Ohio -11,-110,1.91,W,0.91
19-Oct,Coastal Carolina +10.5,-110,1.91,W,0.91
20-Oct,LSU +3.5,-132,1.76,L,-1.00
21-Oct,Bowling Green -4,-108,1.93,L,-1.00
22-Oct,Marshall +3.5,-122,1.82,W,0.82
23-Oct,Maryland +3.5,-118,1.85,W,0.85
24-Oct,UNLV +13.5,-122,1.82,L,-1.00
25-Oct,Ball State ML,-110,1.91,W,0.91
26-Oct,Syracuse +11,-108,1.93,L,-1.00
27-Oct,Northwestern -3,-105,1.95,W,0.95
28-Oct,Washington +6,-105,1.95,L,-1.00
21-Oct,Kennesaw St ML,-138,1.72,W,0.72
22-Oct,Louisiana Tech -3,-117,1.85,L,-1.00
22-Oct,Delaware -7.5,-114,1.88,L,-1.00
23-Oct,New Mexico State +3,-110,1.91,L,-1.00
29-Oct,Jacksonville State -3,-122,1.82,P,0.00
29-Oct,Missouri State -3,-120,1.83,W,0.83
31-Oct,Syracuse -2.5,-101,1.99,L,-1.00
31-Oct,Memphis -13.5,-110,1.91,W,0.91
1-Nov,Boise State -17,-110,1.91,L,-1.00
1-Nov,Minnesota -2.5,-125,1.80,W,0.80
1-Nov,Colorado +4.5,-110,1.91,L,-1.00
1-Nov,Auburn -11,-110,1.91,L,-1.00
1-Nov,Western Michigan -5,-110,1.91,L,-1.00
1-Nov,Washington State -3.5,-110,1.91,L,-1.00
1-Nov,Western Kentucky -8.5,-110,1.91,W,0.91
1-Nov,Bowling Green -2,-110,1.91,L,-1.00
1-Nov,Georgial -7,-110,1.91,L,-1.00
1-Nov,Troy -7,-110,1.91,L,-1.00
1-Nov,Arizona State +8,-110,1.91,W,0.91
4-Nov,Ohio -3,-120,1.83,W,0.83
4-Nov,Akron -9,-130,1.77,W,0.77
5-Nov,Ball State ML,-114,1.88,W,0.88
5-Nov,Toledo -13.5,-130,1.77,W,0.77
7-Nov,USC -13.5,-115,1.87,W,0.87
7-Nov,Memphis -3,-118,1.85,L,-1.00
8-Nov,Coastal Carolina -7.5,-108,1.93,W,0.93
8-Nov,Iowa State +8,-118,1.85,W,0.85
8-Nov,Utah State -8,-120,1.83,W,0.83
8-Nov,Virginia -6.5,-105,1.95,L,-1.00
8-Nov,BYU +12,-110,1.91,L,-1.00
8-Nov,Missouri +7,-120,1.83,L,-1.00
8-Nov,Arkansas State +5,-120,1.83,L,-1.00
8-Nov,SMU -10.5,-110,1.91,W,0.91
8-Nov,Nebraska -1,-110,1.91,W,0.91
8-Nov,Arizona -3,-120,1.83,W,0.83
12-Nov,Central Michigan -1.5,-109,1.92,W,0.92
15-Nov,Uconn -6.5,-143,1.70,W,0.70
15-Nov,Pitt +12.5,-101,1.99,L,-1.00
15-Nov,LSU -4.5,-102,1.98,L,-1.00
15-Nov,ASU -10.5,-113,1.88,L,-1.00
15-Nov,Marshall -6.5,-146,1.68,W,0.68
15-Nov,Iowa +7.5,-132,1.76,W,0.76
15-Nov,Southern Miss -2.5,-133,1.75,L,-1.00
15-Nov,Penn State -6.5,-132,1.76,W,0.76
15-Nov,Alabama -6.5,-101,1.99,L,-1.00
15-Nov,Western Kentucky -12.5,-114,1.88,W,0.88
15-Nov,Utah -7.5,-130,1.77,W,0.77
15-Nov,BYU -2.5,-133,1.75,W,0.75
18-Nov,Bowling Green -2.5,-112,1.89,L,-1.00
22-Nov,Iowa State -3,-118,1.85,W,0.85
22-Nov,Wake forest -15.5,-134,1.75,W,0.75
22-Nov,Army -9,-114,1.88,L,-1.00
22-Nov,SMU -2.5,-150,1.67,W,0.67
22-Nov,Oklahoma -3.5,-124,1.81,W,0.81
22-Nov,Arizona -5.5,-128,1.78,W,0.78
22-Nov,Wyoming -5.5,-111,1.90,L,-1.00
22-Nov,Louisiana Tech ML,-103,1.97,W,0.97
22-Nov,Iowa -17,-109,1.92,L,-1.00
22-Nov,UCF -13,-109,1.92,L,-1.00
22-Nov,ECU ML,-123,1.81,L,-1.00
22-Nov,Maryland +14.5,-114,1.88,L,-1.00
22-Nov,Texas -7,-122,1.82,W,0.82
22-Nov,Troy -9,-114,1.88,W,0.88
22-Nov,BYU -2.5,-117,1.85,W,0.85
22-Nov,SDSU -12,-110,1.91,W,0.91
26-Nov,Memphis -3,-125,1.80,L,-1.00
29-Nov,Iowa State -13.5,-103,1.97,L,-1.00
29-Nov,Pitt +7,-110,1.91,L,-1.00
29-Nov,Ohio State -8.5,-115,1.87,W,0.87
29-Nov,BYU -17,-116,1.86,W,0.86
29-Nov,Syracuse +3,-108,1.93,L,-1.00
29-Nov,Louisiana -9,-112,1.89,L,-1.00
29-Nov,Troy +7.5,-110,1.91,W,0.91
29-Nov,New Mexico State -3,-105,1.95,L,-1.00
29-Nov,Vanderbilt +3.5,-110,1.91,W,0.91
29-Nov,Washington State -13,-119,1.84,W,0.84
29-Nov,Coastal Carolina +24,-110,1.91,L,-1.00
29-Nov,UVA -7,-112,1.89,W,0.89
29-Nov,Illinois -6.5,-113,1.88,W,0.88
29-Nov,NC State -6.5,-130,1.77,W,0.77
29-Nov,UNLV -6.5,-130,1.77,W,0.77
